query_name,chromosome,position,reference_end,length,cigar,coverage
SRR14041381.16854630,NW_003526940.1,1335612,1335731,8624,119M6S,301
SRR14041381.28641715,NW_003526940.1,1335612,1335731,8590,119M6S,301
SRR14041381.14060361,NW_003526940.1,1335613,1335724,82051,111M14S,307
SRR14041381.2126164,NW_003526940.1,1335614,1335734,104623,120M5S,311
SRR14041381.6972711,NW_003526940.1,1335615,1335731,8590,116M9S,311
SRR14041381.10445096,NW_003526940.1,1335615,1335724,82027,109M16S,311
SRR14041381.17272163,NW_003526940.1,1335615,1335731,104624,116M9S,311
SRR14041381.14587559,NW_003526940.1,1335623,1335731,104616,108M17S,329
SRR14041381.10617113,NW_003526940.1,1335624,1335724,82036,100M25S,331
SRR14041381.24905973,NW_003526940.1,1335625,1335724,82027,99M26S,332
SRR14041381.13925204,NW_003526940.1,1335626,1335731,104612,105M20S,333
SRR14041381.20034639,NW_003526940.1,1335627,1335724,96656,97M28S,334
SRR14041381.26080846,NW_003526940.1,1335627,1335724,82057,97M28S,334
SRR14041381.14327345,NW_003526940.1,1335628,1335753,82220,125M,337
SRR14041381.29389610,NW_003526940.1,1335629,1335731,8545,5S102M18S,340
SRR14041381.2777442,NW_003526940.1,1335629,1335754,82219,125M,340
SRR14041381.16972434,NW_003526940.1,1335632,1335731,92010,99M26S,344
SRR14041381.31949906,NW_003526940.1,1335632,1335731,8576,99M26S,344
SRR14041381.32583618,NW_003526940.1,1335642,1335724,82026,82M43S,347
SRR14041381.13413552,NW_003526940.1,1337580,1337705,101444,125M,140
SRR14041381.31982107,NW_003526940.1,1337580,1337705,101408,125M,140
SRR14041381.12540048,NW_003526940.1,1337583,1337708,101447,125M,141
SRR14041381.12760839,NW_003526940.1,1337795,1337921,101001,35M1D90M,112
SRR14041381.3773386,NW_003526940.1,1337796,1337922,100938,34M1D91M,114
SRR14041381.17371834,NW_003526940.1,1337811,1337937,100985,19M1D106M,119
SRR14041381.29264768,NW_003526940.1,1337880,1338005,101026,125M,168
SRR14041381.32378415,NW_003526940.1,1337883,1338008,101086,125M,167
SRR14041381.10026827,NW_003526940.1,1337889,1338014,101060,125M,174
SRR14041381.24216262,NW_003526940.1,1337889,1338014,101060,125M,174
SRR14041381.7446594,NW_003526940.1,1337897,1338022,101049,125M,195
SRR14041381.19949523,NW_003526940.1,1337897,1338022,101049,125M,195
SRR14041381.26458901,NW_003526940.1,1338067,1338192,5680,125M,241
SRR14041381.23309291,NW_003526940.1,1338082,1338207,5681,125M,240
SRR14041381.31346989,NW_003526940.1,1338082,1338207,5684,125M,240
SRR14041381.31921834,NW_003526940.1,1338082,1338207,5688,125M,240
SRR14041381.6815232,NW_003526940.1,1338115,1338218,5688,103M22S,241
SRR14041381.11682977,NW_003526940.1,1338116,1338218,5683,102M23S,238
SRR14041381.11244810,NW_003526940.1,1338121,1338218,5629,97M28S,236
SRR14041381.12134557,NW_003526940.1,1338122,1338218,5697,96M29S,235
SRR14041381.28623107,NW_003526940.1,1338122,1338218,5697,96M29S,235
SRR14041381.9943282,NW_003526940.1,1338147,1338218,5686,71M54H,258
SRR14041381.21678498,NW_003526940.1,1338161,1338218,5659,57M68H,252
SRR14041381.20071757,NW_003526940.1,1338162,1338218,5645,56M69H,255
SRR14041381.17376226,NW_003526940.1,1339636,1339761,5224,125M,277
SRR14041381.20243,NW_003526940.1,1339856,1339981,101525,125M,102
SRR14041381.24634362,NW_003526940.1,1339856,1339981,101501,125M,102
SRR14041381.25741112,NW_003526940.1,1339871,1339996,101497,125M,103
SRR14041381.23867321,NW_003526940.1,1340148,1340273,88701,125M,4
SRR14041381.30090897,NW_003526940.1,1340149,1340264,88656,10S115M,5
SRR14041381.32763,NW_003526940.1,1340150,1340276,88729,14M1D111M,22
SRR14041381.12437021,NW_003526940.1,1340151,1340277,88698,13M1D112M,25
SRR14041381.26765773,NW_003526940.1,1340165,1340288,88722,2S123M,22
SRR14041381.26940118,NW_003526940.1,1340165,1340290,88684,125M,22
SRR14041381.18560445,NW_003526940.1,1340166,1340291,88694,125M,49
SRR14041381.13920457,NW_003526940.1,1340169,1340294,88698,125M,54
SRR14041381.21535131,NW_003526940.1,1340169,1340294,88678,125M,54
SRR14041381.10097531,NW_003526940.1,1340176,1340301,101072,125M,64
SRR14041381.15052751,NW_003526940.1,1340176,1340301,101071,125M,64
SRR14041381.22544605,NW_003526940.1,1340176,1340301,88688,125M,64
SRR14041381.20700294,NW_003526940.1,1340190,1340315,88682,125M,84
SRR14041381.17324861,NW_003526940.1,1340193,1340318,88693,125M,89
SRR14041381.28914,NW_003526940.1,1340194,1340319,88676,125M,92
SRR14041381.20953564,NW_003526940.1,1340194,1340319,88681,125M,92
SRR14041381.25169658,NW_003526940.1,1340194,1340319,88670,125M,92
SRR14041381.19883044,NW_003526940.1,1340195,1340320,101073,125M,96
SRR14041381.24300925,NW_003526940.1,1340199,1340324,101053,125M,100
SRR14041381.16738488,NW_003526940.1,1340205,1340330,101050,125M,108
SRR14041381.10519392,NW_003526940.1,1340206,1340331,101045,125M,112
SRR14041381.29518147,NW_003526940.1,1340279,1340404,89124,125M,177
SRR14041381.19948037,NW_003526940.1,1340302,1340427,89132,125M,163
SRR14041381.31514282,NW_003526940.1,1340303,1340428,89151,125M,164
SRR14041381.19346706,NW_003526940.1,1340313,1340438,89138,125M,163
SRR14041381.25206018,NW_003526940.1,1340314,1340436,89145,122M3S,163
SRR14041381.19888632,NW_003526940.1,1340315,1340436,89150,121M4S,161
SRR14041381.30212299,NW_003526940.1,1340495,1340620,89184,125M,5
SRR14041381.12245554,NW_003526940.1,1340501,1340621,88694,4S50M1I70M,9
SRR14041381.3029271,NW_003526940.1,1340502,1340626,88756,49M1I75M,12
SRR14041381.16009669,NW_003526940.1,1340517,1340641,88703,34M1I90M,26
SRR14041381.14289127,NW_003526940.1,1340527,1340651,88683,24M1I100M,36
SRR14041381.25263502,NW_003526940.1,1340527,1340651,88694,24M1I100M,36
SRR14041381.12186389,NW_003526940.1,1340530,1340655,89133,125M,40
SRR14041381.8812566,NW_003526940.1,1340530,1340654,88678,21M1I103M,40
SRR14041381.17841700,NW_003526940.1,1340531,1340656,89150,125M,43
SRR14041381.27587154,NW_003526940.1,1340537,1340661,88709,14M1I110M,50
SRR14041381.29903630,NW_003526940.1,1340537,1340661,88708,14M1I110M,50
SRR14041381.29993669,NW_003526940.1,1340538,1340662,88655,13M1I111M,54
SRR14041381.29145764,NW_003526940.1,1340539,1340663,88680,12M1I112M,56
SRR14041381.29185130,NW_003526940.1,1340794,1340919,101046,125M,144
SRR14041381.2144283,NW_003526940.1,1340814,1340939,101043,125M,160
SRR14041381.24764066,NW_003526940.1,1341294,1341419,101034,125M,116
SRR14041381.23292151,NW_003526940.1,1341313,1341431,101074,7S61M1I3M1D53M,125
SRR14041381.20281083,NW_003526940.1,1341314,1341439,101076,60M1I3M1D61M,134
SRR14041381.16497913,NW_003526940.1,1341551,1341610,101146,59M66H,128
SRR14041381.14549936,NW_003526940.1,1343776,1343902,83254,34M2D3M4I9M3D75M,275
SRR14041381.29994131,NW_003526940.1,1343777,1343903,83247,33M2D3M4I9M3D76M,278
SRR14041381.4797878,NW_003526940.1,1343778,1343903,103172,125M,282
SRR14041381.15834155,NW_003526940.1,1343779,1343905,83241,31M2D3M4I9M3D78M,285
SRR14041381.15030751,NW_003526940.1,1343780,1343906,83267,30M2D3M4I9M3D79M,286
SRR14041381.12384579,NW_003526940.1,1343781,1343906,103132,125M,285
SRR14041381.16982128,NW_003526940.1,1343782,1343907,103127,125M,287
SRR14041381.8284002,NW_003526940.1,1343788,1343913,103133,125M,300
SRR14041381.27508777,NW_003526940.1,1343788,1343913,103169,125M,300
SRR14041381.28371574,NW_003526940.1,1343791,1343916,103097,125M,311
SRR14041381.1223095,NW_003526940.1,1343795,1343920,103150,125M,315
SRR14041381.16027284,NW_003526940.1,1343796,1343921,103169,125M,315
SRR14041381.17586688,NW_003526940.1,1343816,1343941,103159,125M,335
SRR14041381.30804476,NW_003526940.1,1343817,1343942,103166,125M,335
SRR14041381.11780352,NW_003526940.1,1343831,1343956,103133,125M,354
SRR14041381.15192635,NW_003526940.1,1344083,1344177,73656,25M1D68M32S,200
SRR14041381.6972711,NW_003526940.1,1344204,1344325,-8590,91M1D29M5S,268
SRR14041381.19216616,NW_003526940.1,1344215,1344341,-8599,80M1D45M,276
SRR14041381.22012353,NW_003526940.1,1344215,1344340,-8618,125M,276
SRR14041381.988036,NW_003526940.1,1344220,1344346,-8654,75M1D50M,286
SRR14041381.21203980,NW_003526940.1,1344229,1344354,103166,125M,294
SRR14041381.9244133,NW_003526940.1,1344230,1344355,-8633,125M,295
SRR14041381.2842492,NW_003526940.1,1344230,1344355,73288,125M,295
SRR14041381.27269775,NW_003526940.1,1344243,1344369,-8643,52M1D73M,316
SRR14041381.17376226,NW_003526940.1,1344983,1345108,-5224,125M,135
SRR14041381.7630696,NW_003526940.1,1346354,1346477,114887,63M2I60M,216
SRR14041381.7037591,NW_003526940.1,1346357,1346480,114864,60M2I63M,219
SRR14041381.12210117,NW_003526940.1,1346357,1346480,114881,60M2I63M,219
SRR14041381.32182123,NW_003526940.1,1346362,1346485,114877,55M2I68M,218
SRR14041381.7159590,NW_003526940.1,1346370,1346493,114808,47M2I76M,219
SRR14041381.7517024,NW_003526940.1,1346370,1346493,114843,47M2I76M,219
SRR14041381.22170724,NW_003526940.1,1346370,1346493,114840,47M2I76M,219
SRR14041381.20860773,NW_003526940.1,1346390,1346510,114845,27M2I93M3S,228
SRR14041381.11112803,NW_003526940.1,1347172,1347296,74942,88M1I36M,206
SRR14041381.7979131,NW_003526940.1,1347192,1347316,74922,68M1I56M,202
SRR14041381.19238885,NW_003526940.1,1347192,1347316,74907,68M1I56M,202
SRR14041381.17982035,NW_003526940.1,1347198,1347323,74920,125M,198
SRR14041381.2734985,NW_003526940.1,1347204,1347313,74898,15S56M1I53M,196
SRR14041381.33166673,NW_003526940.1,1347204,1347329,74934,125M,196
SRR14041381.1441875,NW_003526940.1,1347210,1347335,74941,125M,211
SRR14041381.7609316,NW_003526940.1,1347211,1347336,74897,125M,212
SRR14041381.2971489,NW_003526940.1,1347218,1347343,74890,125M,208
SRR14041381.18498380,NW_003526940.1,1347219,1347344,74905,125M,210
SRR14041381.9280542,NW_003526940.1,1347220,1347345,74945,125M,214
SRR14041381.25992563,NW_003526940.1,1347220,1347345,74893,125M,214
SRR14041381.9887005,NW_003526940.1,1347226,1347351,74914,125M,216
SRR14041381.1590105,NW_003526940.1,1347255,1347380,74878,125M,196
SRR14041381.26593973,NW_003526940.1,1347256,1347381,74888,125M,196
SRR14041381.21497562,NW_003526940.1,1347472,1347597,74462,125M,58
SRR14041381.2240356,NW_003526940.1,1347488,1347613,74438,125M,78
SRR14041381.25631189,NW_003526940.1,1347489,1347614,74445,125M,79
SRR14041381.24268708,NW_003526940.1,1350106,1350230,107450,67M1I57M,107
SRR14041381.31068793,NW_003526940.1,1350107,1350231,107435,66M1I58M,107
SRR14041381.22292467,NW_003526940.1,1350332,1350457,107015,125M,172
SRR14041381.15319749,NW_003526940.1,1350333,1350458,107012,125M,176
SRR14041381.28565729,NW_003526940.1,1350346,1350471,107035,125M,188
SRR14041381.31521206,NW_003526940.1,1350347,1350472,107034,125M,188
SRR14041381.3027607,NW_003526940.1,1350353,1350478,106982,125M,196
SRR14041381.5839674,NW_003526940.1,1350354,1350479,107004,125M,200
SRR14041381.13172598,NW_003526940.1,1350365,1350490,106977,125M,215
SRR14041381.1527033,NW_003526940.1,1350366,1350491,106947,125M,217
SRR14041381.3036484,NW_003526940.1,1350370,1350495,106946,125M,216
SRR14041381.8117287,NW_003526940.1,1350374,1350499,106964,125M,228
SRR14041381.21032467,NW_003526940.1,1350375,1350500,106929,125M,229
SRR14041381.28890261,NW_003526940.1,1350404,1350507,106944,103M22S,267
SRR14041381.6209620,NW_003526940.1,1351778,1351898,103962,6M3D111M8S,141
SRR14041381.17424841,NW_003526940.1,1351778,1351898,103909,6M3D111M8S,141
SRR14041381.32485956,NW_003526940.1,1351779,1351898,103945,5M3D111M9S,143
SRR14041381.32316394,NW_003526940.1,1351803,1351926,103893,93M1I5M1I25M,141
SRR14041381.13811075,NW_003526940.1,1351814,1351928,103896,9S82M1I5M1I27M,130
SRR14041381.4908266,NW_003526940.1,1415284,1415409,14731,125M,136
SRR14041381.21667657,NW_003526940.1,1415304,1415408,14700,104M21S,131
SRR14041381.17620907,NW_003526940.1,1415320,1415408,14703,88M37S,129
SRR14041381.1071239,NW_003526940.1,1415554,1415675,14349,121M4S,85
SRR14041381.10292055,NW_003526940.1,1415554,1415669,14316,10S115M,85
SRR14041381.17616363,NW_003526940.1,1415554,1415665,14309,14S111M,85
SRR14041381.17935928,NW_003526940.1,1415554,1415676,14321,3S122M,85
SRR14041381.18771259,NW_003526940.1,1415554,1415676,14316,3S122M,85
SRR14041381.20800485,NW_003526940.1,1415554,1415674,14290,5S120M,85
SRR14041381.23002659,NW_003526940.1,1415554,1415677,14344,2S123M,85
SRR14041381.33185018,NW_003526940.1,1415566,1415691,14297,125M,105
SRR14041381.18843443,NW_003526940.1,1415856,1415981,14769,125M,156
SRR14041381.5025297,NW_003526940.1,1415875,1415998,14743,123M2S,151
SRR14041381.1728885,NW_003526940.1,1415878,1415998,14792,120M5S,152
SRR14041381.14828746,NW_003526940.1,1417560,1417685,9720,125M,58
SRR14041381.9172371,NW_003526940.1,1417652,1417777,-82007,125M,79
SRR14041381.15711349,NW_003526940.1,1417658,1417780,-82018,122M3S,81
SRR14041381.26087162,NW_003526940.1,1417658,1417780,-82037,122M3S,81
SRR14041381.10617113,NW_003526940.1,1417659,1417780,-82036,121M4S,83
SRR14041381.22230082,NW_003526940.1,1417660,1417780,-82058,120M5S,82
SRR14041381.4005758,NW_003526940.1,1417672,1417780,-82062,108M17S,87
SRR14041381.20757506,NW_003526940.1,1417736,1417780,14440,44M81H,80
SRR14041381.7100429,NW_003526940.1,1417737,1417786,22609,49M76H,82
SRR14041381.25040724,NW_003526940.1,1417741,1417780,-82224,39M86H,83
SRR14041381.32198338,NW_003526940.1,1417741,1417780,-82184,39M86H,83
SRR14041381.30640689,NW_003526940.1,1417742,1417786,-82197,44M81H,87
SRR14041381.49419,NW_003526940.1,1417746,1417777,-82190,31M94H,92
SRR14041381.8966403,NW_003526940.1,1417746,1417786,22590,40M85H,92
SRR14041381.32137893,NW_003526940.1,1417747,1417786,-82200,39M86H,93
SRR14041381.2683829,NW_003526940.1,1417849,1417974,29618,125M,85
SRR14041381.21270664,NW_003526940.1,1417856,1417981,30096,125M,100
SRR14041381.24272369,NW_003526940.1,1417857,1417982,30081,125M,102
SRR14041381.7267157,NW_003526940.1,1417860,1417985,30077,125M,103
SRR14041381.11868521,NW_003526940.1,1417860,1417985,29650,125M,103
SRR14041381.26189490,NW_003526940.1,1417861,1417986,29634,125M,105
SRR14041381.9497448,NW_003526940.1,1417870,1417995,30074,125M,113
SRR14041381.22804171,NW_003526940.1,1417870,1417995,30127,125M,113
SRR14041381.9763334,NW_003526940.1,1418092,1418217,29664,125M,44
SRR14041381.21147699,NW_003526940.1,1418391,1418516,-83309,125M,80
SRR14041381.8838752,NW_003526940.1,1421975,1422100,-74903,125M,159
SRR14041381.17604666,NW_003526940.1,1421975,1422100,-74894,125M,159
SRR14041381.25822910,NW_003526940.1,1421976,1422101,-74945,125M,161
SRR14041381.2734985,NW_003526940.1,1421977,1422102,-74898,125M,161
SRR14041381.7072233,NW_003526940.1,1421978,1422103,-74932,125M,166
SRR14041381.25992563,NW_003526940.1,1421988,1422113,-74893,125M,191
SRR14041381.7979131,NW_003526940.1,1421989,1422114,-74922,125M,191
SRR14041381.11112803,NW_003526940.1,1421989,1422114,-74942,125M,191
SRR14041381.11590563,NW_003526940.1,1422002,1422127,-74887,125M,207
SRR14041381.10804707,NW_003526940.1,1422014,1422139,-74885,125M,223
SRR14041381.9887005,NW_003526940.1,1422015,1422140,-74914,125M,227
SRR14041381.6620307,NW_003526940.1,1422025,1422150,-74947,125M,243
SRR14041381.1441875,NW_003526940.1,1422026,1422151,-74941,125M,251
SRR14041381.9280542,NW_003526940.1,1422040,1422165,-74945,125M,270
SRR14041381.17243488,NW_003526940.1,1422063,1422188,-74469,125M,310
SRR14041381.23531660,NW_003526940.1,1422064,1422189,-74470,125M,309
SRR14041381.10722414,NW_003526940.1,1422798,1422923,36801,125M,238
SRR14041381.2600903,NW_003526940.1,1422799,1422924,36846,125M,238
SRR14041381.25856294,NW_003526940.1,1422799,1422924,36837,125M,238
SRR14041381.24933277,NW_003526940.1,1422800,1422925,36841,125M,239
SRR14041381.19703282,NW_003526940.1,1422835,1422954,36770,119M6S,271
SRR14041381.22705121,NW_003526940.1,1424555,1424680,29215,125M,187
SRR14041381.27548729,NW_003526940.1,1424565,1424690,29210,125M,186
SRR14041381.10813414,NW_003526940.1,1424575,1424698,29197,123M2S,188
SRR14041381.7853088,NW_003526940.1,1424576,1424698,29165,122M3S,192
SRR14041381.743638,NW_003526940.1,1424601,1424698,29097,97M28S,216
SRR14041381.28103364,NW_003526940.1,1424602,1424698,29145,96M29S,217
SRR14041381.23496982,NW_003526940.1,1424603,1424698,29120,95M30S,213
SRR14041381.29536557,NW_003526940.1,1424603,1424698,29088,95M30S,213
SRR14041381.32368476,NW_003526940.1,1424603,1424698,29108,95M30S,213
SRR14041381.1707529,NW_003526940.1,1428116,1428234,20155,7S118M,55
SRR14041381.8228168,NW_003526940.1,1428116,1428238,20122,3S122M,55
SRR14041381.15151577,NW_003526940.1,1428116,1428233,20129,8S117M,55
SRR14041381.18240630,NW_003526940.1,1428116,1428237,20123,4S121M,55
SRR14041381.32654340,NW_003526940.1,1428116,1428239,20126,2S123M,55
SRR14041381.5124056,NW_003526940.1,1428116,1428237,19722,4S121M,55
SRR14041381.29286837,NW_003526940.1,1428116,1428229,19683,12S113M,55
SRR14041381.32422584,NW_003526940.1,1428116,1428224,19677,17S108M,55
SRR14041381.12870017,NW_003526940.1,1428117,1428242,19708,125M,78
SRR14041381.27633014,NW_003526940.1,1428117,1428242,19658,125M,78
SRR14041381.1780939,NW_003526940.1,1428118,1428243,19707,125M,82
SRR14041381.12947098,NW_003526940.1,1428122,1428247,19705,125M,82
SRR14041381.7047058,NW_003526940.1,1428129,1428254,20116,125M,84
SRR14041381.14312767,NW_003526940.1,1428129,1428254,20096,125M,84
SRR14041381.24196137,NW_003526940.1,1428130,1428252,19695,122M3S,86
SRR14041381.24342243,NW_003526940.1,1428137,1428262,20103,125M,96
SRR14041381.29369989,NW_003526940.1,1428137,1428262,19687,125M,96
SRR14041381.10117382,NW_003526940.1,1428138,1428263,19692,125M,97
SRR14041381.30090897,NW_003526940.1,1428918,1429043,-88656,125M,145
SRR14041381.27366529,NW_003526940.1,1428966,1429091,12199,125M,153
SRR14041381.10115683,NW_003526940.1,1428967,1429092,-89186,42M1I71M1D11M,156
SRR14041381.31494586,NW_003526940.1,1428968,1429091,12543,123M2S,156
SRR14041381.12437021,NW_003526940.1,1428973,1429099,-88698,36M1I71M2D17M,160
SRR14041381.21461593,NW_003526940.1,1428973,1429099,12137,36M1I71M2D17M,160
SRR14041381.18024418,NW_003526940.1,1428974,1429100,-88704,106M1D19M,164
SRR14041381.19971723,NW_003526940.1,1428980,1429106,-88701,29M1I71M2D24M,166
SRR14041381.18560445,NW_003526940.1,1428983,1429109,-88694,97M1D28M,167
SRR14041381.27896805,NW_003526940.1,1428983,1429109,-88700,26M1I71M2D27M,167
SRR14041381.11811018,NW_003526940.1,1428984,1429110,12142,25M1I71M2D28M,167
SRR14041381.21023589,NW_003526940.1,1428987,1429113,-88689,93M1D32M,170
SRR14041381.22544605,NW_003526940.1,1428987,1429113,-88688,93M1D32M,170
SRR14041381.25169658,NW_003526940.1,1428987,1429113,-88670,22M1I71M2D31M,170
SRR14041381.7465985,NW_003526940.1,1428991,1429117,-88690,89M1D36M,173
SRR14041381.20953564,NW_003526940.1,1428998,1429124,-88681,82M1D43M,177
SRR14041381.16333808,NW_003526940.1,1429006,1429133,-88691,74M2D51M,183
SRR14041381.17324861,NW_003526940.1,1429009,1429133,-88693,71M2D51M3S,185
SRR14041381.23603711,NW_003526940.1,1429009,1429133,-88701,71M2D51M3S,185
SRR14041381.30161850,NW_003526940.1,1429290,1429415,-89151,125M,145
SRR14041381.9647809,NW_003526940.1,1429297,1429422,-89164,125M,159
SRR14041381.16537952,NW_003526940.1,1429298,1429423,-89111,125M,160
SRR14041381.19948037,NW_003526940.1,1429309,1429434,-89132,125M,173
SRR14041381.8812566,NW_003526940.1,1429330,1429455,-88678,125M,213
SRR14041381.21237513,NW_003526940.1,1429341,1429466,-88718,125M,234
SRR14041381.29145764,NW_003526940.1,1429341,1429466,-88680,125M,234
SRR14041381.16009669,NW_003526940.1,1429342,1429467,-88703,125M,237
SRR14041381.23050723,NW_003526940.1,1429342,1429467,-88694,125M,237
SRR14041381.25263502,NW_003526940.1,1429343,1429468,-88694,125M,238
SRR14041381.28960999,NW_003526940.1,1429344,1429469,-88669,125M,240
SRR14041381.19612591,NW_003526940.1,1429356,1429480,-88705,112M1I12M,253
SRR14041381.27587154,NW_003526940.1,1429368,1429492,-88709,100M1I24M,255
SRR14041381.5103409,NW_003526940.1,1429372,1429496,-88662,96M1I28M,256
SRR14041381.3029271,NW_003526940.1,1429380,1429494,-88756,88M1I26M10S,260
SRR14041381.27533196,NW_003526940.1,1429381,1429494,-88714,87M1I26M11S,260
SRR14041381.6578125,NW_003526940.1,1429916,1430041,-14738,125M,84
SRR14041381.9701526,NW_003526940.1,1429916,1430041,-14705,125M,84
SRR14041381.10292055,NW_003526940.1,1429983,1430109,-14316,94M1D31M,129
SRR14041381.11858276,NW_003526940.1,1429983,1430109,-14303,94M1D31M,129
SRR14041381.17935928,NW_003526940.1,1429995,1430121,-14321,82M1D43M,136
SRR14041381.28348067,NW_003526940.1,1429996,1430122,-14302,81M1D44M,135
SRR14041381.9166938,NW_003526940.1,1430015,1430141,-14302,62M1D63M,132
SRR14041381.2025169,NW_003526940.1,1430028,1430154,-14340,49M1D76M,131
SRR14041381.24450929,NW_003526940.1,1430472,1430597,-14746,125M,70
SRR14041381.13764436,NW_003526940.1,1430484,1430609,-14754,125M,77
SRR14041381.5025297,NW_003526940.1,1430493,1430618,-14743,125M,88
SRR14041381.5968561,NW_003526940.1,1430496,1430621,-14807,125M,89
SRR14041381.3711711,NW_003526940.1,1430497,1430622,-14752,125M,90
SRR14041381.9355241,NW_003526940.1,1430510,1430637,-14760,55M2D70M,94
SRR14041381.5587064,NW_003526940.1,1431681,1431806,15553,125M,138
SRR14041381.21210486,NW_003526940.1,1431681,1431806,15537,125M,138
SRR14041381.17315259,NW_003526940.1,1431745,1431849,15543,104M21S,148
SRR14041381.8849399,NW_003526940.1,1431746,1431849,15517,103M22S,148
SRR14041381.23168324,NW_003526940.1,1431746,1431849,15543,103M22S,148
SRR14041381.24898976,NW_003526940.1,1432268,1432393,-96663,125M,151
SRR14041381.2586649,NW_003526940.1,1432272,1432397,-96665,125M,155
SRR14041381.6054488,NW_003526940.1,1432272,1432397,-96661,125M,155
SRR14041381.28239073,NW_003526940.1,1432272,1432397,-96664,125M,155
SRR14041381.19553260,NW_003526940.1,1432281,1432406,-96684,125M,157
SRR14041381.20034639,NW_003526940.1,1432282,1432407,-96656,125M,157
SRR14041381.3744796,NW_003526940.1,1432283,1432408,-96737,125M,158
SRR14041381.507562,NW_003526940.1,1432328,1432439,-4376,111M14S,150
SRR14041381.7314225,NW_003526940.1,1433365,1433475,805044,15S110M,52
SRR14041381.8283647,NW_003526940.1,1433365,1433446,-653264,44S81M,52
SRR14041381.31960971,NW_003526940.1,1433365,1433443,805080,47S78M,52
SRR14041381.15447632,NW_003526940.1,1434218,1434339,14828,4S121M,98
