chromosome,position,coverage
NW_003526945.1,2152710,242
NW_003526945.1,2152711,252
NW_003526945.1,2152712,262
NW_003526945.1,2152713,271
NW_003526945.1,2152714,280
NW_003526945.1,2152715,293
NW_003526945.1,2152716,308
NW_003526945.1,2152717,318
NW_003526945.1,2152718,329
NW_003526945.1,2152719,338
NW_003526945.1,2152720,347
NW_003526945.1,2152721,353
NW_003526945.1,2152722,365
NW_003526945.1,2152723,378
NW_003526945.1,2152724,389
NW_003526945.1,2152725,403
NW_003526945.1,2152727,422
NW_003526945.1,2152728,428
NW_003526945.1,2152729,440
NW_003526945.1,2152730,445
NW_003526945.1,2152731,458
NW_003526945.1,2152732,467
NW_003526945.1,2152734,478
NW_003526945.1,2152735,482
NW_003526945.1,2152736,487
NW_003526945.1,2152737,491
NW_003526945.1,2152738,501
NW_003526945.1,2152739,509
NW_003526945.1,2152741,528
NW_003526945.1,2152742,540
NW_003526945.1,2152744,563
NW_003526945.1,2152745,573
NW_003526945.1,2152746,577
NW_003526945.1,2152748,596
NW_003526945.1,2152750,610
NW_003526945.1,2152751,620
NW_003526945.1,2152752,629
NW_003526945.1,2152753,643
NW_003526945.1,2152754,651
NW_003526945.1,2152755,662
NW_003526945.1,2152756,668
NW_003526945.1,2152757,675
NW_003526945.1,2152758,690
NW_003526945.1,2152769,741
NW_003526945.1,2152771,750
NW_003526945.1,2152772,758
NW_003526945.1,2152779,808
NW_003526945.1,2152781,835
NW_003526945.1,2152782,845
NW_003526945.1,2152785,881
NW_003526945.1,2152786,891
NW_003526945.1,2152794,965
NW_003526945.1,2152795,974
NW_003526945.1,2153067,991
NW_003526945.1,2153071,1006
NW_003526945.1,2153072,1005
NW_003526945.1,2153075,1008
NW_003526945.1,2153087,990
NW_003526945.1,2153116,771
NW_003526945.1,2153119,756
NW_003526945.1,2153135,710
NW_003526945.1,2153210,350
NW_003526945.1,2153211,352
NW_003526945.1,2153214,350
NW_003526945.1,2153216,359
NW_003526945.1,2153218,366
NW_003526945.1,2153219,366
NW_003526945.1,2153223,370
NW_003526945.1,2153224,372
NW_003526945.1,2153846,1289
NW_003526945.1,2153850,1316
NW_003526945.1,2153855,1337
NW_003526945.1,2153857,1338
NW_003526945.1,2153859,1359
NW_003526945.1,2153861,1355
NW_003526945.1,2153862,1361
NW_003526945.1,2153863,1370
NW_003526945.1,2153864,1384
NW_003526945.1,2153865,1396
NW_003526945.1,2153866,1405
NW_003526945.1,2153868,1426
NW_003526945.1,2153869,1435
NW_003526945.1,2153870,1441
NW_003526945.1,2153871,1443
NW_003526945.1,2153872,1446
NW_003526945.1,2153874,1455
NW_003526945.1,2153875,1454
NW_003526945.1,2153876,1451
NW_003526945.1,2153877,1455
NW_003526945.1,2153878,1457
NW_003526945.1,2153879,1462
NW_003526945.1,2153880,1468
NW_003526945.1,2153881,1476
NW_003526945.1,2153882,1478
NW_003526945.1,2153883,1491
NW_003526945.1,2153884,1500
NW_003526945.1,2153885,1501
NW_003526945.1,2153886,1503
NW_003526945.1,2153887,1511
NW_003526945.1,2153888,1513
NW_003526945.1,2153890,1531
NW_003526945.1,2153891,1535
NW_003526945.1,2153892,1538
NW_003526945.1,2153893,1542
NW_003526945.1,2153894,1550
NW_003526945.1,2153895,1554
NW_003526945.1,2153896,1557
NW_003526945.1,2153897,1558
NW_003526945.1,2153898,1571
NW_003526945.1,2153899,1575
NW_003526945.1,2153900,1579
NW_003526945.1,2153901,1585
NW_003526945.1,2153902,1584
NW_003526945.1,2153904,1591
NW_003526945.1,2153905,1598
NW_003526945.1,2153906,1593
NW_003526945.1,2153907,1593
NW_003526945.1,2153908,1604
NW_003526945.1,2153909,1601
NW_003526945.1,2153910,1609
NW_003526945.1,2153911,1611
NW_003526945.1,2153912,1604
NW_003526945.1,2153913,1604
NW_003526945.1,2153914,1606
NW_003526945.1,2153915,1609
NW_003526945.1,2153916,1605
NW_003526945.1,2153917,1600
NW_003526945.1,2153918,1602
NW_003526945.1,2153919,1605
NW_003526945.1,2153920,1605
NW_003526945.1,2153921,1612
NW_003526945.1,2153922,1614
NW_003526945.1,2153923,1617
NW_003526945.1,2153924,1616
NW_003526945.1,2153925,1627
NW_003526945.1,2153926,1620
NW_003526945.1,2153927,1626
NW_003526945.1,2153928,1615
NW_003526945.1,2153929,1613
NW_003526945.1,2153930,1605
NW_003526945.1,2153931,1608
NW_003526945.1,2153932,1609
NW_003526945.1,2153933,1610
NW_003526945.1,2153934,1606
NW_003526945.1,2153935,1611
NW_003526945.1,2153936,1607
NW_003526945.1,2153937,1601
NW_003526945.1,2153938,1589
NW_003526945.1,2153939,1590
NW_003526945.1,2153940,1600
NW_003526945.1,2153941,1596
NW_003526945.1,2153942,1596
NW_003526945.1,2153943,1607
NW_003526945.1,2153944,1606
NW_003526945.1,2153945,1609
NW_003526945.1,2153946,1607
NW_003526945.1,2153947,1615
NW_003526945.1,2153948,1615
NW_003526945.1,2153949,1618
NW_003526945.1,2153950,1620
NW_003526945.1,2153951,1617
NW_003526945.1,2153952,1607
NW_003526945.1,2153953,1603
NW_003526945.1,2153954,1604
NW_003526945.1,2153955,1607
NW_003526945.1,2153956,1602
NW_003526945.1,2153957,1610
NW_003526945.1,2153958,1616
NW_003526945.1,2154106,108
NW_003526945.1,2163252,111
NW_003526948.1,6035052,87
NW_003526948.1,6035075,87
NW_003526948.1,6035084,90
NW_003526948.1,6035101,95
NW_003526948.1,6035121,105
NW_003526948.1,6035129,105
NW_003526948.1,6035135,102
NW_003526948.1,6035137,106
NW_003526948.1,6035139,104
NW_003526948.1,6035144,103
NW_003526948.1,6035147,106
NW_003526948.1,6035149,107
NW_003526948.1,6035153,112
NW_003526948.1,6035154,114
NW_003526948.1,6035155,113
NW_003526948.1,6035156,116
NW_003526948.1,6035157,117
NW_003526948.1,6035159,118
NW_003526948.1,6035160,118
NW_003526948.1,6035161,120
NW_003526948.1,6035162,119
NW_003526948.1,6035163,119
NW_003526948.1,6035165,119
NW_003526948.1,6035168,118
NW_003526948.1,6035170,119
NW_003526948.1,6035171,121
NW_003526948.1,6035173,123
NW_003526948.1,6035177,120
NW_003526948.1,6035179,121
NW_003526948.1,6035180,122
NW_003526948.1,6035181,123
NW_003526948.1,6035182,126
NW_003526948.1,6035184,126
NW_003526948.1,6035185,127
NW_003526948.1,6035186,128
NW_003526948.1,6035187,129
NW_003526948.1,6035191,131
NW_003526948.1,6035192,133
NW_003526948.1,6035193,135
NW_003526948.1,6035195,136
NW_003526948.1,6035196,135
NW_003526948.1,6035197,136
NW_003526948.1,6035198,138
NW_003526948.1,6035200,137
NW_003526948.1,6035203,137
NW_003526948.1,6035204,139
NW_003526948.1,6035283,68
NW_003526948.1,6035938,3
NW_003526948.1,6036017,50
NW_003526948.1,6036055,138
NW_003526948.1,6036190,424
NW_003526948.1,6036194,405
NW_003526948.1,6036277,152
NW_003526948.1,6036279,157
NW_003526948.1,6036281,160
NW_003526948.1,6036283,165
NW_003526948.1,6036285,165
NW_003526948.1,6036286,167
NW_003526948.1,6036288,171
NW_003526948.1,6036291,179
NW_003526948.1,6036292,182
NW_003526948.1,6036293,182
NW_003526948.1,6036294,185
NW_003526948.1,6036295,187
NW_003526948.1,6036316,160
NW_003526948.1,6036342,122
NW_003526948.1,6036349,120
NW_003526948.1,6036358,120
NW_003526948.1,6036360,122
NW_003526948.1,6036363,124
NW_003526948.1,6036371,132
NW_003526948.1,6036376,138
NW_003526948.1,6036377,141
NW_003526948.1,6036387,138
NW_003526948.1,6036426,116
NW_003526948.1,6036428,121
NW_003526948.1,6036430,122
NW_003526948.1,6036432,122
NW_003526948.1,6036436,120
NW_003526948.1,6036440,120
NW_003526948.1,6036447,116
NW_003526948.1,6036450,121
NW_003526948.1,6036452,121
NW_003526948.1,6036455,126
NW_003526948.1,6036456,126
NW_003526948.1,6036459,130
NW_003526948.1,6036462,132
NW_003526948.1,6036463,135
NW_003526948.1,6036465,136
NW_003526948.1,6036470,137
NW_003526948.1,6036475,142
NW_003526948.1,6036481,146
NW_003526948.1,6036483,148
NW_003526948.1,6036487,152
NW_003526948.1,6036488,151
NW_003526948.1,6036496,154
NW_003526948.1,6036498,156
NW_003526948.1,6036504,150
NW_003526948.1,6036505,153
NW_003526948.1,6036508,162
NW_003526948.1,6036520,164
NW_003526948.1,6036528,166
NW_003526948.1,6036539,173
NW_003526948.1,6036541,170
NW_003526948.1,6036575,176
NW_003526948.1,6036610,172
NW_003526948.1,6036613,173
NW_003526948.1,6039028,216
NW_003526948.1,6041548,31
NW_003526948.1,6041730,58
NW_003526948.1,6041743,67
NW_003526948.1,6041746,74
NW_003526948.1,6041760,84
NW_003526948.1,6042150,184
NW_003526948.1,6043470,36
NW_003526948.1,6043624,7
NW_003526948.1,6044778,43
NW_003526948.1,6044790,64
NW_003526948.1,6044791,72
NW_003526948.1,6044792,78
NW_003526948.1,6044794,84
NW_003526948.1,6044795,86
NW_003526948.1,6044796,87
NW_003526948.1,6044797,89
NW_003526948.1,6044798,91
NW_003526948.1,6044799,94
NW_003526948.1,6044800,97
NW_003526948.1,6044801,101
NW_003526948.1,6044802,104
NW_003526948.1,6044803,106
NW_003526948.1,6044804,110
NW_003526948.1,6044805,114
NW_003526948.1,6044806,116
NW_003526948.1,6044807,118
NW_003526948.1,6044808,122
NW_003526948.1,6044809,123
NW_003526948.1,6044811,127
NW_003526948.1,6044812,130
NW_003526948.1,6044813,133
NW_003526948.1,6044814,136
NW_003526948.1,6044815,139
NW_003526948.1,6044817,144
NW_003526948.1,6044819,146
NW_003526948.1,6044821,149
NW_003526948.1,6044822,153
NW_003526948.1,6044823,161
NW_003526948.1,6044825,166
NW_003526948.1,6044826,168
NW_003526948.1,6044827,171
NW_003526948.1,6044828,176
NW_003526948.1,6044829,179
NW_003526948.1,6044830,183
NW_003526948.1,6044831,189
NW_003526948.1,6044832,192
NW_003526948.1,6044833,202
NW_003526948.1,6044834,209
NW_003526948.1,6044835,213
NW_003526948.1,6044836,221
NW_003526948.1,6044837,231
NW_003526948.1,6044839,232
NW_003526948.1,6044840,236
NW_003526948.1,6044841,240
NW_003526948.1,6044842,242
NW_003526948.1,6044843,250
NW_003526948.1,6044844,256
NW_003526948.1,6044845,258
NW_003526948.1,6044846,265
NW_003526948.1,6044847,268
NW_003526948.1,6044848,272
NW_003526948.1,6044849,275
NW_003526948.1,6044851,281
NW_003526948.1,6044852,285
NW_003526948.1,6044853,287
NW_003526948.1,6044854,288
NW_003526948.1,6044856,291
NW_003526948.1,6044858,296
NW_003526948.1,6044859,299
NW_003526948.1,6044860,303
NW_003526948.1,6044861,305
NW_003526948.1,6044862,310
NW_003526948.1,6044863,312
NW_003526948.1,6044864,315
NW_003526948.1,6044866,318
NW_003526948.1,6044867,324
NW_003526948.1,6044868,325
NW_003526948.1,6044869,329
NW_003526948.1,6044870,336
NW_003526948.1,6044871,344
NW_003526948.1,6044872,347
NW_003526948.1,6044873,349
NW_003526948.1,6044875,353
NW_003526948.1,6044876,356
NW_003526948.1,6044877,359
NW_003526948.1,6044878,361
NW_003526948.1,6044879,364
NW_003526948.1,6046602,263
NW_003526948.1,6046603,275
NW_003526948.1,6046604,279
NW_003526948.1,6046605,291
NW_003526948.1,6046606,299
NW_003526948.1,6046607,324
NW_003526948.1,6046608,334
NW_003526948.1,6046609,349
NW_003526948.1,6046610,363
NW_003526948.1,6046611,375
NW_003526948.1,6046612,384
NW_003526948.1,6046613,396
NW_003526948.1,6046614,404
NW_003526948.1,6046615,413
NW_003526948.1,6046616,423
NW_003526948.1,6046617,437
NW_003526948.1,6046618,449
NW_003526948.1,6046619,462
NW_003526948.1,6046620,476
NW_003526948.1,6046621,487
NW_003526948.1,6046622,493
NW_003526948.1,6046623,506
NW_003526948.1,6046624,510
NW_003526948.1,6046625,519
NW_003526948.1,6046626,535
NW_003526948.1,6046627,541
NW_003526948.1,6046628,551
NW_003526948.1,6046629,562
NW_003526948.1,6046630,570
NW_003526948.1,6046631,588
NW_003526948.1,6046632,603
NW_003526948.1,6046633,611
NW_003526948.1,6046634,623
NW_003526948.1,6046635,639
NW_003526948.1,6046636,655
NW_003526948.1,6046637,663
NW_003526948.1,6046638,677
NW_003526948.1,6046639,690
NW_003526948.1,6046640,701
NW_003526948.1,6046641,714
NW_003526948.1,6046642,728
NW_003526948.1,6046643,744
NW_003526948.1,6046644,755
NW_003526948.1,6046645,767
NW_003526948.1,6046646,775
NW_003526948.1,6046647,788
NW_003526948.1,6046648,797
NW_003526948.1,6046649,805
NW_003526948.1,6046650,822
NW_003526948.1,6046651,834
NW_003526948.1,6046652,851
NW_003526948.1,6046653,861
NW_003526948.1,6046654,872
NW_003526948.1,6046655,882
NW_003526948.1,6046656,900
NW_003526948.1,6046657,911
NW_003526948.1,6046658,920
NW_003526948.1,6046659,932
NW_003526948.1,6046660,942
NW_003526948.1,6046661,962
NW_003526948.1,6046662,979
NW_003526948.1,6046663,989
NW_003526948.1,6046664,1009
NW_003526948.1,6046665,1024
NW_003526948.1,6046666,1049
NW_003526948.1,6046667,1059
NW_003526948.1,6046668,1077
NW_003526948.1,6046669,1091
NW_003526948.1,6046670,1112
NW_003526948.1,6046671,1130
NW_003526948.1,6046672,1152
NW_003526948.1,6046673,1164
NW_003526948.1,6046674,1184
NW_003526948.1,6046675,1192
NW_003526948.1,6046676,1215
NW_003526948.1,6046677,1229
NW_003526948.1,6046678,1243
NW_003526948.1,6046679,1258
NW_003526948.1,6046682,1286
NW_003526948.1,6046683,1298
NW_003526948.1,6046684,1311
NW_003526948.1,6046685,1320
NW_003526948.1,6046687,1323
NW_003526948.1,6046688,1333
NW_003526948.1,6046689,1333
NW_003526948.1,6046692,1356
NW_003526948.1,6046694,1371
NW_003526948.1,6046696,1376
NW_003526948.1,6046698,1390
NW_003526948.1,6046699,1394
NW_003526948.1,6046700,1403
NW_003526948.1,6046701,1418
NW_003526948.1,6046702,1421
NW_003526948.1,6046703,1431
NW_003526948.1,6046704,1438
NW_003526948.1,6046705,1443
NW_003526948.1,6046706,1454
NW_003526948.1,6046707,1466
NW_003526948.1,6046708,1471
NW_003526948.1,6046709,1478
NW_003526948.1,6046710,1488
NW_003526948.1,6046711,1500
NW_003526948.1,6046712,1509
NW_003526948.1,6046713,1523
NW_003526948.1,6046714,1535
NW_003526948.1,6046715,1541
NW_003526948.1,6046722,1565
NW_003526948.1,6046816,1040
NW_003526948.1,6046834,1250
NW_003526948.1,6046836,1257
NW_003526948.1,6046841,1268
NW_003526948.1,6046846,1270
NW_003526948.1,6046847,1356
NW_003526948.1,6046848,1366
NW_003526948.1,6046849,1377
NW_003526948.1,6046850,1391
NW_003526948.1,6046851,1394
NW_003526948.1,6046852,1403
