chromosome,source,feature,start,end,score,strand,frame,Name,gbkey,gene_biotype,Parent,transcript_id,protein_id,pseudo,partial,ID,locus_tag,inference,Dbxref,end_range,product,start_range,Note
NW_003526945.1,RefSeq,exon,1062826,1062868,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-4,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1062940,1063067,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-5,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1063095,1063163,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-6,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1063441,1063517,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-7,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1063585,1063638,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-8,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1063714,1063763,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-9,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1063822,1063990,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-10,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1062338,1062477,.,+,0,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1062514,1062641,.,+,1,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1062700,1062777,.,+,2,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1062826,1062868,.,+,2,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1062940,1063067,.,+,1,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1063095,1063163,.,+,2,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1063441,1063517,.,+,2,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1063585,1063638,.,+,0,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1063714,1063763,.,+,0,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,CDS,1063822,1063990,.,+,1,XP_003373366.1,CDS,,rna-XM_003373318.1,,"XP_003373366.1
",,,cds-XP_003373366.1,Tsp_07964,,"GenBank:XP_003373366.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,gene,1064414,1066414,.,-,.,Tsp_07965,Gene,protein_coding,,,,,,gene-Tsp_07965,"Tsp_07965
",,GeneID:10906522,,,,
NW_003526945.1,RefSeq,mRNA,1064414,1066414,.,-,.,XM_003373319.1,mRNA,,gene-Tsp_07965,"XM_003373319.1
",,,,rna-XM_003373319.1,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,exon,1066409,1066414,.,-,.,,mRNA,,rna-XM_003373319.1,"XM_003373319.1
",,,,exon-XM_003373319.1-1,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,exon,1066201,1066350,.,-,.,,mRNA,,rna-XM_003373319.1,"XM_003373319.1
",,,,exon-XM_003373319.1-2,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,exon,1065370,1065838,.,-,.,,mRNA,,rna-XM_003373319.1,"XM_003373319.1
",,,,exon-XM_003373319.1-3,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,exon,1064814,1065237,.,-,.,,mRNA,,rna-XM_003373319.1,"XM_003373319.1
",,,,exon-XM_003373319.1-4,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,exon,1064414,1064495,.,-,.,,mRNA,,rna-XM_003373319.1,"XM_003373319.1
",,,,exon-XM_003373319.1-5,Tsp_07965,,"GenBank:XM_003373319.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,CDS,1066409,1066414,.,-,0,XP_003373367.1,CDS,,rna-XM_003373319.1,,"XP_003373367.1
",,,cds-XP_003373367.1,Tsp_07965,,"GenBank:XP_003373367.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,CDS,1066201,1066350,.,-,0,XP_003373367.1,CDS,,rna-XM_003373319.1,,"XP_003373367.1
",,,cds-XP_003373367.1,Tsp_07965,,"GenBank:XP_003373367.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,CDS,1065370,1065838,.,-,0,XP_003373367.1,CDS,,rna-XM_003373319.1,,"XP_003373367.1
",,,cds-XP_003373367.1,Tsp_07965,,"GenBank:XP_003373367.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,CDS,1064814,1065237,.,-,2,XP_003373367.1,CDS,,rna-XM_003373319.1,,"XP_003373367.1
",,,cds-XP_003373367.1,Tsp_07965,,"GenBank:XP_003373367.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,CDS,1064414,1064495,.,-,1,XP_003373367.1,CDS,,rna-XM_003373319.1,,"XP_003373367.1
",,,cds-XP_003373367.1,Tsp_07965,,"GenBank:XP_003373367.1,GeneID:10906522",,protein bunched%2C class 2 isoform,,
NW_003526945.1,RefSeq,gene,1072097,1073170,.,-,.,Tsp_07966,Gene,protein_coding,,,,,,gene-Tsp_07966,"Tsp_07966
",,GeneID:10906523,,,,
NW_003526945.1,RefSeq,mRNA,1072097,1073170,.,-,.,XM_003373320.1,mRNA,,gene-Tsp_07966,"XM_003373320.1
",,,,rna-XM_003373320.1,Tsp_07966,,"GenBank:XM_003373320.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,exon,1073113,1073170,.,-,.,,mRNA,,rna-XM_003373320.1,"XM_003373320.1
",,,,exon-XM_003373320.1-1,Tsp_07966,,"GenBank:XM_003373320.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,exon,1072742,1072810,.,-,.,,mRNA,,rna-XM_003373320.1,"XM_003373320.1
",,,,exon-XM_003373320.1-2,Tsp_07966,,"GenBank:XM_003373320.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,exon,1072578,1072693,.,-,.,,mRNA,,rna-XM_003373320.1,"XM_003373320.1
",,,,exon-XM_003373320.1-3,Tsp_07966,,"GenBank:XM_003373320.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,exon,1072097,1072273,.,-,.,,mRNA,,rna-XM_003373320.1,"XM_003373320.1
",,,,exon-XM_003373320.1-4,Tsp_07966,,"GenBank:XM_003373320.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,CDS,1073113,1073170,.,-,0,XP_003373368.1,CDS,,rna-XM_003373320.1,,"XP_003373368.1
",,,cds-XP_003373368.1,Tsp_07966,,"GenBank:XP_003373368.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,CDS,1072742,1072810,.,-,2,XP_003373368.1,CDS,,rna-XM_003373320.1,,"XP_003373368.1
",,,cds-XP_003373368.1,Tsp_07966,,"GenBank:XP_003373368.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,CDS,1072578,1072693,.,-,2,XP_003373368.1,CDS,,rna-XM_003373320.1,,"XP_003373368.1
",,,cds-XP_003373368.1,Tsp_07966,,"GenBank:XP_003373368.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,CDS,1072097,1072273,.,-,0,XP_003373368.1,CDS,,rna-XM_003373320.1,,"XP_003373368.1
",,,cds-XP_003373368.1,Tsp_07966,,"GenBank:XP_003373368.1,GeneID:10906523",,putative LSM domain protein,,
NW_003526945.1,RefSeq,gene,1074321,1080666,.,+,.,Tsp_07967,Gene,protein_coding,,,,,,gene-Tsp_07967,"Tsp_07967
",,GeneID:10906524,,,,
NW_003526945.1,RefSeq,mRNA,1074321,1080666,.,+,.,XM_003373321.1,mRNA,,gene-Tsp_07967,"XM_003373321.1
",,,,rna-XM_003373321.1,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1074321,1074467,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-1,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1074536,1074653,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-2,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1074732,1074880,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-3,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1076134,1076217,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-4,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1076300,1076487,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-5,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1076555,1076868,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-6,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1077279,1077389,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-7,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1077473,1078029,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-8,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1078731,1078978,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-9,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1079047,1079238,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-10,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,exon,1080519,1080666,.,+,.,,mRNA,,rna-XM_003373321.1,"XM_003373321.1
",,,,exon-XM_003373321.1-11,Tsp_07967,,"GenBank:XM_003373321.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1074321,1074467,.,+,0,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1074536,1074653,.,+,0,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1074732,1074880,.,+,2,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1076134,1076217,.,+,0,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1076300,1076487,.,+,0,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1076555,1076868,.,+,1,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1077279,1077389,.,+,2,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1077473,1078029,.,+,2,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1078731,1078978,.,+,0,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1079047,1079238,.,+,1,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,CDS,1080519,1080666,.,+,1,XP_003373369.1,CDS,,rna-XM_003373321.1,,"XP_003373369.1
",,,cds-XP_003373369.1,Tsp_07967,,"GenBank:XP_003373369.1,GeneID:10906524",,katanin p80 WD40-containing subunit B1,,
NW_003526945.1,RefSeq,gene,1083684,1084597,.,-,.,Tsp_07968,Gene,protein_coding,,,,,,gene-Tsp_07968,"Tsp_07968
",,GeneID:10906525,,,,
NW_003526945.1,RefSeq,mRNA,1083684,1084597,.,-,.,XM_003373322.1,mRNA,,gene-Tsp_07968,"XM_003373322.1
",,,,rna-XM_003373322.1,Tsp_07968,,"GenBank:XM_003373322.1,GeneID:10906525",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1084554,1084597,.,-,.,,mRNA,,rna-XM_003373322.1,"XM_003373322.1
",,,,exon-XM_003373322.1-1,Tsp_07968,,"GenBank:XM_003373322.1,GeneID:10906525",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1084484,1084511,.,-,.,,mRNA,,rna-XM_003373322.1,"XM_003373322.1
",,,,exon-XM_003373322.1-2,Tsp_07968,,"GenBank:XM_003373322.1,GeneID:10906525",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1084129,1084190,.,-,.,,mRNA,,rna-XM_003373322.1,"XM_003373322.1
",,,,exon-XM_003373322.1-3,Tsp_07968,,"GenBank:XM_003373322.1,GeneID:10906525",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1083684,1083921,.,-,.,,mRNA,,rna-XM_003373322.1,"XM_003373322.1
",,,,exon-XM_003373322.1-4,Tsp_07968,,"GenBank:XM_003373322.1,GeneID:10906525",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1084554,1084597,.,-,0,XP_003373370.1,CDS,,rna-XM_003373322.1,,"XP_003373370.1
",,,cds-XP_003373370.1,Tsp_07968,,"GenBank:XP_003373370.1,GeneID:10906525",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1084484,1084511,.,-,1,XP_003373370.1,CDS,,rna-XM_003373322.1,,"XP_003373370.1
",,,cds-XP_003373370.1,Tsp_07968,,"GenBank:XP_003373370.1,GeneID:10906525",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1084129,1084190,.,-,0,XP_003373370.1,CDS,,rna-XM_003373322.1,,"XP_003373370.1
",,,cds-XP_003373370.1,Tsp_07968,,"GenBank:XP_003373370.1,GeneID:10906525",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1083684,1083921,.,-,1,XP_003373370.1,CDS,,rna-XM_003373322.1,,"XP_003373370.1
",,,cds-XP_003373370.1,Tsp_07968,,"GenBank:XP_003373370.1,GeneID:10906525",,hypothetical protein,,
NW_003526945.1,RefSeq,gene,1087516,1089495,.,+,.,Tsp_07969,Gene,protein_coding,,,,,,gene-Tsp_07969,"Tsp_07969
",,GeneID:10906526,,,,
NW_003526945.1,RefSeq,mRNA,1087516,1089495,.,+,.,XM_003373323.1,mRNA,,gene-Tsp_07969,"XM_003373323.1
",,,,rna-XM_003373323.1,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1087516,1087571,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-1,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1088405,1088473,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-2,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1088643,1088680,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-3,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1088816,1088837,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-4,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1089065,1089249,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-5,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,exon,1089467,1089495,.,+,.,,mRNA,,rna-XM_003373323.1,"XM_003373323.1
",,,,exon-XM_003373323.1-6,Tsp_07969,,"GenBank:XM_003373323.1,GeneID:10906526",,conserved domain protein,,
NW_003526945.1,RefSeq,CDS,1087516,1087571,.,+,0,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1088405,1088473,.,+,1,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1088643,1088680,.,+,1,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1088816,1088837,.,+,2,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1089065,1089249,.,+,1,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1089467,1089495,.,+,2,XP_003373371.1,CDS,,rna-XM_003373323.1,,"XP_003373371.1
",,,cds-XP_003373371.1,Tsp_07969,,"GenBank:XP_003373371.1,GeneID:10906526",,hypothetical protein,,
NW_003526945.1,RefSeq,gene,1108927,1109154,.,+,.,Tsp_07970,Gene,protein_coding,,,,,,gene-Tsp_07970,"Tsp_07970
",,GeneID:10906527,,,,
NW_003526945.1,RefSeq,mRNA,1108927,1109154,.,+,.,XM_003373324.1,mRNA,,gene-Tsp_07970,"XM_003373324.1
",,,,rna-XM_003373324.1,Tsp_07970,,"GenBank:XM_003373324.1,GeneID:10906527",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1108927,1109012,.,+,.,,mRNA,,rna-XM_003373324.1,"XM_003373324.1
",,,,exon-XM_003373324.1-1,Tsp_07970,,"GenBank:XM_003373324.1,GeneID:10906527",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1109061,1109154,.,+,.,,mRNA,,rna-XM_003373324.1,"XM_003373324.1
",,,,exon-XM_003373324.1-2,Tsp_07970,,"GenBank:XM_003373324.1,GeneID:10906527",,conserved hypothetical protein,,
