Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
TAZ protein [Pseudoatta argentina],Pseudoatta argentina,90.1,90.1,0%,2e-14,86.67,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5319698.1?report=genbank&log$=prottop&blast_rank=48&RID=3278TXF8013"",""KAG5319698.1"")"
unnamed protein product [Lasius platythorax],Lasius platythorax,89.4,151,2%,2e-14,58.23,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL1686338.1?report=genbank&log$=prottop&blast_rank=49&RID=3278TXF8013"",""CAL1686338.1"")"
tafazzin homolog [Orussus abietinus],Orussus abietinus,89.4,149,2%,2e-14,56.25,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012284247.1?report=genbank&log$=prottop&blast_rank=50&RID=3278TXF8013"",""XP_012284247.1"")"
Tafazzin-like protein [Harpegnathos saltator],Harpegnathos saltator,89.0,152,2%,2e-14,61.11,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFN78704.1?report=genbank&log$=prottop&blast_rank=51&RID=3278TXF8013"",""EFN78704.1"")"
tafazzin homolog isoform X1 [Camponotus floridanus],Camponotus floridanus,89.4,153,1%,2e-14,78.00,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011253261.1?report=genbank&log$=prottop&blast_rank=52&RID=3278TXF8013"",""XP_011253261.1"")"
tafazzin homolog [Harpegnathos saltator],Harpegnathos saltator,89.4,153,2%,2e-14,61.11,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011148252.1?report=genbank&log$=prottop&blast_rank=53&RID=3278TXF8013"",""XP_011148252.1"")"
tafazzin homolog [Chelonus insularis],Chelonus insularis,90.5,178,2%,3e-14,51.72,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034940677.1?report=genbank&log$=prottop&blast_rank=54&RID=3278TXF8013"",""XP_034940677.1"")"
PREDICTED: tafazzin homolog [Linepithema humile],Linepithema humile,89.0,152,2%,3e-14,58.75,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012227808.1?report=genbank&log$=prottop&blast_rank=55&RID=3278TXF8013"",""XP_012227808.1"")"
tafazzin homolog isoform X6 [Belonocnema kinseyi],Belonocnema kinseyi,90.1,157,1%,3e-14,82.61,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223102.1?report=genbank&log$=prottop&blast_rank=56&RID=3278TXF8013"",""XP_033223102.1"")"
tafazzin homolog isoform X5 [Belonocnema kinseyi],Belonocnema kinseyi,90.1,154,1%,3e-14,82.61,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223101.1?report=genbank&log$=prottop&blast_rank=57&RID=3278TXF8013"",""XP_033223101.1"")"
tafazzin homolog isoform X1 [Belonocnema kinseyi],Belonocnema kinseyi,90.5,154,1%,3e-14,82.61,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223096.1?report=genbank&log$=prottop&blast_rank=58&RID=3278TXF8013"",""XP_033223096.1"")"
tafazzin homolog isoform X4 [Belonocnema kinseyi],Belonocnema kinseyi,90.1,154,1%,3e-14,82.61,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223099.1?report=genbank&log$=prottop&blast_rank=59&RID=3278TXF8013"",""XP_033223099.1"")"
PREDICTED: tafazzin homolog [Atta cephalotes],Atta cephalotes,89.0,155,1%,3e-14,88.64,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012055469.1?report=genbank&log$=prottop&blast_rank=60&RID=3278TXF8013"",""XP_012055469.1"")"
PREDICTED: tafazzin homolog [Dinoponera quadriceps],Dinoponera quadriceps,89.0,152,2%,3e-14,59.72,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014474843.1?report=genbank&log$=prottop&blast_rank=61&RID=3278TXF8013"",""XP_014474843.1"")"
tafazzin homolog isoform X1 [Copidosoma floridanum],Copidosoma floridanum,89.0,145,1%,4e-14,88.64,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014204350.1?report=genbank&log$=prottop&blast_rank=62&RID=3278TXF8013"",""XP_014204350.1"")"
hypothetical protein KM043_010657 [Ampulex compressa],Ampulex compressa,89.0,153,1%,4e-14,90.70,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7211367.1?report=genbank&log$=prottop&blast_rank=63&RID=3278TXF8013"",""KAG7211367.1"")"
PREDICTED: tafazzin homolog isoform X1 [Wasmannia auropunctata],Wasmannia auropunctata,89.0,150,2%,4e-14,62.50,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011698451.1?report=genbank&log$=prottop&blast_rank=64&RID=3278TXF8013"",""XP_011698451.1"")"
hypothetical protein HN011_003200 [Eciton burchellii],Eciton burchellii,89.7,157,2%,4e-14,53.93,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0950163.1?report=genbank&log$=prottop&blast_rank=65&RID=3278TXF8013"",""KAH0950163.1"")"
TAZ protein [Acromyrmex heyeri],Acromyrmex heyeri,88.6,88.6,0%,4e-14,84.78,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5345750.1?report=genbank&log$=prottop&blast_rank=66&RID=3278TXF8013"",""KAG5345750.1"")"
tafazzin homolog isoform X2 [Copidosoma floridanum],Copidosoma floridanum,88.6,144,1%,4e-14,88.64,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014204351.1?report=genbank&log$=prottop&blast_rank=67&RID=3278TXF8013"",""XP_014204351.1"")"
PREDICTED: tafazzin homolog isoform X1 [Acromyrmex echinatior],Acromyrmex echinatior,89.0,89.0,0%,4e-14,84.78,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011066834.1?report=genbank&log$=prottop&blast_rank=68&RID=3278TXF8013"",""XP_011066834.1"")"
tafazzin homolog isoform X2 [Nomia melanderi],Nomia melanderi,88.6,150,1%,4e-14,84.09,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031828292.1?report=genbank&log$=prottop&blast_rank=69&RID=3278TXF8013"",""XP_031828292.1"")"
hypothetical protein QAD02_014066 [Eretmocerus hayati],Eretmocerus hayati,88.6,149,1%,4e-14,86.36,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8678279.1?report=genbank&log$=prottop&blast_rank=70&RID=3278TXF8013"",""KAJ8678279.1"")"
tafazzin isoform X3 [Hylaeus volcanicus],Hylaeus volcanicus,88.2,152,2%,5e-14,84.09,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053994700.1?report=genbank&log$=prottop&blast_rank=71&RID=3278TXF8013"",""XP_053994700.1"")"
Uncharacterized protein DBV15_10369 [Temnothorax longispinosus],Temnothorax longispinosus,89.0,149,1%,5e-14,88.64,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TGZ58061.1?report=genbank&log$=prottop&blast_rank=72&RID=3278TXF8013"",""TGZ58061.1"")"
hypothetical protein K0M31_005785 [Melipona bicolor],Melipona bicolor,88.2,154,1%,5e-14,84.09,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1125417.1?report=genbank&log$=prottop&blast_rank=73&RID=3278TXF8013"",""KAK1125417.1"")"
tafazzin isoform X2 [Diachasmimorpha longicaudata],Diachasmimorpha longicaudata,89.4,175,2%,5e-14,84.09,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063988080.1?report=genbank&log$=prottop&blast_rank=74&RID=3278TXF8013"",""XP_063988080.1"")"
tafazzin homolog isoform X1 [Apis dorsata],Apis dorsata,89.0,155,1%,6e-14,84.09,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031370494.1?report=genbank&log$=prottop&blast_rank=75&RID=3278TXF8013"",""XP_031370494.1"")"
hypothetical protein M0802_008102 [Mischocyttarus mexicanus],Mischocyttarus mexicanus,90.5,153,2%,6e-14,59.72,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4496062.1?report=genbank&log$=prottop&blast_rank=76&RID=3278TXF8013"",""KAI4496062.1"")"
unnamed protein product [Heterotrigona itama],Heterotrigona itama,87.4,153,1%,6e-14,81.82,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD1473476.1?report=genbank&log$=prottop&blast_rank=77&RID=3278TXF8013"",""CAD1473476.1"")"
PREDICTED: tafazzin homolog [Fopius arisanus],Fopius arisanus,89.0,167,2%,7e-14,86.36,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011304247.1?report=genbank&log$=prottop&blast_rank=78&RID=3278TXF8013"",""XP_011304247.1"")"
tafazzin homolog [Monomorium pharaonis],Monomorium pharaonis,87.8,153,2%,7e-14,61.11,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012529573.1?report=genbank&log$=prottop&blast_rank=79&RID=3278TXF8013"",""XP_012529573.1"")"
tafazzin homolog isoform X2 [Vespa mandarinia],Vespa mandarinia,89.0,155,2%,8e-14,58.33,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035726213.1?report=genbank&log$=prottop&blast_rank=80&RID=3278TXF8013"",""XP_035726213.1"")"
hypothetical protein HZH68_007387 [Vespula germanica],Vespula germanica,88.6,142,2%,9e-14,58.33,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7401567.1?report=genbank&log$=prottop&blast_rank=81&RID=3278TXF8013"",""KAF7401567.1"")"
hypothetical protein HZH66_006649 [Vespula vulgaris],Vespula vulgaris,88.6,142,2%,9e-14,58.33,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7398752.1?report=genbank&log$=prottop&blast_rank=82&RID=3278TXF8013"",""KAF7398752.1"")"
tafazzin [Phymastichus coffea],Phymastichus coffea,87.4,148,2%,9e-14,56.96,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058790505.1?report=genbank&log$=prottop&blast_rank=83&RID=3278TXF8013"",""XP_058790505.1"")"
tafazzin homolog isoform X1 [Vespa mandarinia],Vespa mandarinia,89.0,155,2%,9e-14,58.33,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035726212.1?report=genbank&log$=prottop&blast_rank=84&RID=3278TXF8013"",""XP_035726212.1"")"
tafazzin isoform X1 [Diachasmimorpha longicaudata],Diachasmimorpha longicaudata,89.7,176,2%,9e-14,84.09,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063988071.1?report=genbank&log$=prottop&blast_rank=85&RID=3278TXF8013"",""XP_063988071.1"")"
tafazzin homolog isoform X2 [Camponotus floridanus],Camponotus floridanus,87.4,145,1%,1e-13,86.36,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011253271.1?report=genbank&log$=prottop&blast_rank=86&RID=3278TXF8013"",""XP_011253271.1"")"
tafazzin homolog [Nasonia vitripennis],Nasonia vitripennis,87.4,149,1%,1e-13,86.05,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001600018.2?report=genbank&log$=prottop&blast_rank=87&RID=3278TXF8013"",""XP_001600018.2"")"
tafazzin isoform X2 [Vespula pensylvanica],Vespula pensylvanica,89.0,155,2%,1e-13,58.33,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043670252.1?report=genbank&log$=prottop&blast_rank=88&RID=3278TXF8013"",""XP_043670252.1"")"
tafazzin isoform X2 [Vespa crabro],Vespa crabro,89.0,155,2%,1e-13,58.33,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046821737.1?report=genbank&log$=prottop&blast_rank=89&RID=3278TXF8013"",""XP_046821737.1"")"
tafazzin [Vespula vulgaris],Vespula vulgaris,89.0,155,2%,1e-13,58.33,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050851393.1?report=genbank&log$=prottop&blast_rank=90&RID=3278TXF8013"",""XP_050851393.1"")"
PREDICTED: tafazzin homolog isoform X2 [Polistes canadensis],Polistes canadensis,89.0,150,2%,1e-13,58.33,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014603585.1?report=genbank&log$=prottop&blast_rank=91&RID=3278TXF8013"",""XP_014603585.1"")"
tafazzin isoform X2 [Polistes fuscatus],Polistes fuscatus,89.0,152,2%,1e-13,58.33,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043501136.1?report=genbank&log$=prottop&blast_rank=92&RID=3278TXF8013"",""XP_043501136.1"")"
tafazzin homolog [Pseudomyrmex gracilis],Pseudomyrmex gracilis,87.4,151,2%,1e-13,61.11,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020289699.1?report=genbank&log$=prottop&blast_rank=93&RID=3278TXF8013"",""XP_020289699.1"")"
tafazzin homolog [Diachasma alloeum],Diachasma alloeum,88.6,167,2%,1e-13,84.09,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015110009.1?report=genbank&log$=prottop&blast_rank=94&RID=3278TXF8013"",""XP_015110009.1"")"
tafazzin [Vespa velutina],Vespa velutina,89.0,156,2%,1e-13,58.33,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047350614.1?report=genbank&log$=prottop&blast_rank=95&RID=3278TXF8013"",""XP_047350614.1"")"
PREDICTED: tafazzin homolog isoform X2 [Polistes dominula],Polistes dominula,89.4,153,2%,1e-13,58.33,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015191792.1?report=genbank&log$=prottop&blast_rank=96&RID=3278TXF8013"",""XP_015191792.1"")"
PREDICTED: tafazzin homolog [Ceratosolen solmsi marchali],Ceratosolen solmsi marchali,87.4,147,1%,1e-13,86.05,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011493893.1?report=genbank&log$=prottop&blast_rank=97&RID=3278TXF8013"",""XP_011493893.1"")"
