Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
E3 ubiquitin-protein ligase TRIM23 [Harpegnathos saltator],Harpegnathos saltator,296,913,12%,2e-82,79.68,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011153087.1?report=genbank&log$=prottop&blast_rank=24&RID=326DX7EE013"",""XP_011153087.1"")"
TRI23 ligase [Pseudoatta argentina],Pseudoatta argentina,295,886,12%,4e-82,78.19,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5308564.1?report=genbank&log$=prottop&blast_rank=25&RID=326DX7EE013"",""KAG5308564.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Pogonomyrmex barbatus],Pogonomyrmex barbatus,295,873,12%,4e-82,79.26,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011633619.1?report=genbank&log$=prottop&blast_rank=26&RID=326DX7EE013"",""XP_011633619.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Temnothorax curvispinosus],Temnothorax curvispinosus,295,886,12%,5e-82,79.26,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024875778.1?report=genbank&log$=prottop&blast_rank=27&RID=326DX7EE013"",""XP_024875778.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Neodiprion fabricii],Neodiprion fabricii,295,810,11%,6e-82,73.30,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046421829.1?report=genbank&log$=prottop&blast_rank=28&RID=326DX7EE013"",""XP_046421829.1"")"
E3 ubiquitin-protein ligase TRIM23 [Neodiprion lecontei],Neodiprion lecontei,295,813,11%,8e-82,73.30,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015516089.1?report=genbank&log$=prottop&blast_rank=29&RID=326DX7EE013"",""XP_015516089.1"")"
hypothetical protein HN011_011291 [Eciton burchellii],Eciton burchellii,294,905,12%,1e-81,75.76,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0953564.1?report=genbank&log$=prottop&blast_rank=30&RID=326DX7EE013"",""KAH0953564.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Athalia rosae],Athalia rosae,293,875,12%,2e-81,70.87,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012251858.1?report=genbank&log$=prottop&blast_rank=31&RID=326DX7EE013"",""XP_012251858.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Linepithema humile],Linepithema humile,293,879,12%,2e-81,78.61,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012235423.1?report=genbank&log$=prottop&blast_rank=32&RID=326DX7EE013"",""XP_012235423.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Vespula pensylvanica],Vespula pensylvanica,293,944,12%,3e-81,71.72,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043676761.1?report=genbank&log$=prottop&blast_rank=33&RID=326DX7EE013"",""XP_043676761.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Polistes dominula],Polistes dominula,293,937,12%,3e-81,73.23,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015184814.1?report=genbank&log$=prottop&blast_rank=34&RID=326DX7EE013"",""XP_015184814.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Diprion similis],Diprion similis,293,803,11%,3e-81,72.33,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046742803.1?report=genbank&log$=prottop&blast_rank=35&RID=326DX7EE013"",""XP_046742803.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Trachymyrmex cornetzi],Trachymyrmex cornetzi,293,886,12%,3e-81,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018373476.1?report=genbank&log$=prottop&blast_rank=36&RID=326DX7EE013"",""XP_018373476.1"")"
TRI23 ligase [Acromyrmex heyeri],Acromyrmex heyeri,293,885,12%,3e-81,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5330134.1?report=genbank&log$=prottop&blast_rank=37&RID=326DX7EE013"",""KAG5330134.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Acromyrmex echinatior],Acromyrmex echinatior,292,885,12%,4e-81,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011061051.1?report=genbank&log$=prottop&blast_rank=38&RID=326DX7EE013"",""XP_011061051.1"")"
E3 ubiquitin-protein ligase TRIM23 [Camponotus floridanus],Camponotus floridanus,292,885,12%,4e-81,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011268451.1?report=genbank&log$=prottop&blast_rank=39&RID=326DX7EE013"",""XP_011268451.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Atta colombica],Atta colombica,293,885,12%,4e-81,77.66,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018044841.1?report=genbank&log$=prottop&blast_rank=40&RID=326DX7EE013"",""XP_018044841.1"")"
TRI23 ligase [Acromyrmex insinuator],Acromyrmex insinuator,292,885,12%,4e-81,78.19,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5308004.1?report=genbank&log$=prottop&blast_rank=41&RID=326DX7EE013"",""KAG5308004.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Formica exsecta],Formica exsecta,292,878,12%,5e-81,78.07,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029678883.1?report=genbank&log$=prottop&blast_rank=42&RID=326DX7EE013"",""XP_029678883.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Cataglyphis hispanica],Cataglyphis hispanica,292,887,12%,6e-81,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050454508.1?report=genbank&log$=prottop&blast_rank=43&RID=326DX7EE013"",""XP_050454508.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Vollenhovia emeryi],Vollenhovia emeryi,292,881,12%,6e-81,78.19,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011869054.1?report=genbank&log$=prottop&blast_rank=44&RID=326DX7EE013"",""XP_011869054.1"")"
hypothetical protein HZH68_011167 [Vespula germanica],Vespula germanica,292,941,12%,7e-81,71.72,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7391624.1?report=genbank&log$=prottop&blast_rank=45&RID=326DX7EE013"",""KAF7391624.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Trachymyrmex zeteki],Trachymyrmex zeteki,291,882,12%,1e-80,77.66,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018310467.1?report=genbank&log$=prottop&blast_rank=46&RID=326DX7EE013"",""XP_018310467.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Pseudomyrmex gracilis],Pseudomyrmex gracilis,291,873,12%,1e-80,76.60,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020296554.1?report=genbank&log$=prottop&blast_rank=47&RID=326DX7EE013"",""XP_020296554.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Frieseomelitta varia],Frieseomelitta varia,291,937,12%,1e-80,74.24,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043506979.1?report=genbank&log$=prottop&blast_rank=48&RID=326DX7EE013"",""XP_043506979.1"")"
LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM23-like [Nomia melanderi],Nomia melanderi,291,929,12%,1e-80,75.25,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031830346.1?report=genbank&log$=prottop&blast_rank=49&RID=326DX7EE013"",""XP_031830346.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Vespa mandarinia],Vespa mandarinia,291,937,12%,1e-80,71.72,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035721110.1?report=genbank&log$=prottop&blast_rank=50&RID=326DX7EE013"",""XP_035721110.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Pseudomyrmex gracilis],Pseudomyrmex gracilis,291,873,12%,1e-80,76.60,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020296544.1?report=genbank&log$=prottop&blast_rank=51&RID=326DX7EE013"",""XP_020296544.1"")"
E3 ubiquitin-protein ligase TRIM23 [Ooceraea biroi],Ooceraea biroi,290,911,12%,2e-80,79.14,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EZA59566.1?report=genbank&log$=prottop&blast_rank=52&RID=326DX7EE013"",""EZA59566.1"")"
E3 ubiquitin-protein ligase TRIM23 [Ooceraea biroi],Ooceraea biroi,290,911,12%,2e-80,78.61,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011330438.2?report=genbank&log$=prottop&blast_rank=53&RID=326DX7EE013"",""XP_011330438.2"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Athalia rosae],Athalia rosae,290,872,12%,2e-80,70.39,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012251857.1?report=genbank&log$=prottop&blast_rank=54&RID=326DX7EE013"",""XP_012251857.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Dinoponera quadriceps],Dinoponera quadriceps,290,898,12%,3e-80,80.21,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014486060.1?report=genbank&log$=prottop&blast_rank=55&RID=326DX7EE013"",""XP_014486060.1"")"
unnamed protein product [Lasius platythorax],Lasius platythorax,290,882,12%,4e-80,77.25,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL1679009.1?report=genbank&log$=prottop&blast_rank=56&RID=326DX7EE013"",""CAL1679009.1"")"
hypothetical protein M0802_005307 [Mischocyttarus mexicanus],Mischocyttarus mexicanus,290,934,12%,4e-80,73.23,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4499411.1?report=genbank&log$=prottop&blast_rank=57&RID=326DX7EE013"",""KAI4499411.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X2 [Diachasma alloeum],Diachasma alloeum,290,884,12%,4e-80,77.89,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015117730.1?report=genbank&log$=prottop&blast_rank=58&RID=326DX7EE013"",""XP_015117730.1"")"
hypothetical protein E2986_01115 [Frieseomelitta varia],Frieseomelitta varia,291,940,12%,5e-80,74.24,599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3428549.1?report=genbank&log$=prottop&blast_rank=59&RID=326DX7EE013"",""KAF3428549.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X1 [Diachasma alloeum],Diachasma alloeum,290,884,12%,5e-80,77.89,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015117729.1?report=genbank&log$=prottop&blast_rank=60&RID=326DX7EE013"",""XP_015117729.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Nylanderia fulva],Nylanderia fulva,289,878,12%,6e-80,73.87,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029157532.1?report=genbank&log$=prottop&blast_rank=61&RID=326DX7EE013"",""XP_029157532.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,289,880,12%,6e-80,76.60,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018344712.1?report=genbank&log$=prottop&blast_rank=62&RID=326DX7EE013"",""XP_018344712.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Colletes gigas],Colletes gigas,289,888,12%,6e-80,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043261452.1?report=genbank&log$=prottop&blast_rank=63&RID=326DX7EE013"",""XP_043261452.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Eufriesea mexicana],Eufriesea mexicana,289,925,12%,9e-80,74.24,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017761636.1?report=genbank&log$=prottop&blast_rank=64&RID=326DX7EE013"",""XP_017761636.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Monomorium pharaonis],Monomorium pharaonis,288,873,12%,1e-79,77.37,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012525394.1?report=genbank&log$=prottop&blast_rank=65&RID=326DX7EE013"",""XP_012525394.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Eufriesea mexicana],Eufriesea mexicana,287,858,11%,2e-79,76.80,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017761637.1?report=genbank&log$=prottop&blast_rank=66&RID=326DX7EE013"",""XP_017761637.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Polistes canadensis],Polistes canadensis,286,931,12%,6e-79,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014615974.1?report=genbank&log$=prottop&blast_rank=67&RID=326DX7EE013"",""XP_014615974.1"")"
hypothetical protein M0804_004573 [Polistes exclamans],Polistes exclamans,286,931,12%,6e-79,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4489075.1?report=genbank&log$=prottop&blast_rank=68&RID=326DX7EE013"",""KAI4489075.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Odontomachus brunneus],Odontomachus brunneus,286,872,12%,2e-78,73.13,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032667304.1?report=genbank&log$=prottop&blast_rank=69&RID=326DX7EE013"",""XP_032667304.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Polistes fuscatus],Polistes fuscatus,285,932,12%,2e-78,72.22,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043505061.1?report=genbank&log$=prottop&blast_rank=70&RID=326DX7EE013"",""XP_043505061.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Odontomachus brunneus],Odontomachus brunneus,285,871,12%,2e-78,73.74,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032667305.1?report=genbank&log$=prottop&blast_rank=71&RID=326DX7EE013"",""XP_032667305.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Cyphomyrmex costatus],Cyphomyrmex costatus,284,875,12%,3e-78,75.51,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018399105.1?report=genbank&log$=prottop&blast_rank=72&RID=326DX7EE013"",""XP_018399105.1"")"
E3 ubiquitin-protein ligase TRIM23 [Solenopsis invicta],Solenopsis invicta,284,876,12%,3e-78,76.32,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011155625.1?report=genbank&log$=prottop&blast_rank=73&RID=326DX7EE013"",""XP_011155625.1"")"
hypothetical protein K0M31_008223 [Melipona bicolor],Melipona bicolor,282,815,11%,5e-78,73.74,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1123519.1?report=genbank&log$=prottop&blast_rank=74&RID=326DX7EE013"",""KAK1123519.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Bombus affinis],Bombus affinis,284,933,12%,5e-78,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050597453.1?report=genbank&log$=prottop&blast_rank=75&RID=326DX7EE013"",""XP_050597453.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Bombus pascuorum],Bombus pascuorum,283,935,12%,5e-78,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_060830252.1?report=genbank&log$=prottop&blast_rank=76&RID=326DX7EE013"",""XP_060830252.1"")"
E3 ubiquitin-protein ligase TRIM23 [Melipona quadrifasciata],Melipona quadrifasciata,284,860,11%,6e-78,74.24,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOX73388.1?report=genbank&log$=prottop&blast_rank=77&RID=326DX7EE013"",""KOX73388.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Fopius arisanus],Fopius arisanus,283,864,12%,6e-78,75.26,562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011311870.1?report=genbank&log$=prottop&blast_rank=78&RID=326DX7EE013"",""XP_011311870.1"")"
E3 ubiquitin-protein ligase TRIM23 [Apis mellifera],Apis mellifera,283,907,12%,8e-78,74.24,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006559568.2?report=genbank&log$=prottop&blast_rank=79&RID=326DX7EE013"",""XP_006559568.2"")"
E3 ubiquitin-protein ligase TRIM23 [Apis mellifera caucasica],Apis mellifera caucasica,283,909,12%,8e-78,74.24,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6803133.1?report=genbank&log$=prottop&blast_rank=80&RID=326DX7EE013"",""KAG6803133.1"")"
E3 ubiquitin-protein ligase TRIM23 [Apis florea],Apis florea,283,912,12%,9e-78,74.75,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012340366.1?report=genbank&log$=prottop&blast_rank=81&RID=326DX7EE013"",""XP_012340366.1"")"
GTP-binding protein ARD-1 [Apis cerana cerana],Apis cerana cerana,283,912,12%,9e-78,74.75,563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBC33264.1?report=genbank&log$=prottop&blast_rank=82&RID=326DX7EE013"",""PBC33264.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X1 [Apis cerana],Apis cerana,283,912,12%,1e-77,74.75,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016920650.1?report=genbank&log$=prottop&blast_rank=83&RID=326DX7EE013"",""XP_016920650.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Bombus pyrosoma],Bombus pyrosoma,283,932,12%,1e-77,72.73,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043603305.1?report=genbank&log$=prottop&blast_rank=84&RID=326DX7EE013"",""XP_043603305.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Apis dorsata],Apis dorsata,282,910,12%,1e-77,74.75,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006607359.1?report=genbank&log$=prottop&blast_rank=85&RID=326DX7EE013"",""XP_006607359.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Apis laboriosa],Apis laboriosa,282,910,12%,1e-77,74.75,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043786406.1?report=genbank&log$=prottop&blast_rank=86&RID=326DX7EE013"",""XP_043786406.1"")"
E3 ubiquitin-protein ligase TRIM23 [Bombus terrestris],Bombus terrestris,282,929,12%,2e-77,72.22,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003403201.1?report=genbank&log$=prottop&blast_rank=87&RID=326DX7EE013"",""XP_003403201.1"")"
E3 ubiquitin-protein ligase TRIM23 [Bombus impatiens],Bombus impatiens,282,931,12%,2e-77,72.22,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033174559.1?report=genbank&log$=prottop&blast_rank=88&RID=326DX7EE013"",""XP_033174559.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X2 [Apis cerana],Apis cerana,281,845,11%,2e-77,77.32,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016920677.1?report=genbank&log$=prottop&blast_rank=89&RID=326DX7EE013"",""XP_016920677.1"")"
hypothetical protein K0M31_008223 [Melipona bicolor],Melipona bicolor,282,924,12%,2e-77,73.74,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1123518.1?report=genbank&log$=prottop&blast_rank=90&RID=326DX7EE013"",""KAK1123518.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Bombus vosnesenskii],Bombus vosnesenskii,282,929,12%,2e-77,72.22,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033364900.1?report=genbank&log$=prottop&blast_rank=91&RID=326DX7EE013"",""XP_033364900.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Dufourea novaeangliae],Dufourea novaeangliae,281,894,13%,3e-77,70.94,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015430555.1?report=genbank&log$=prottop&blast_rank=92&RID=326DX7EE013"",""XP_015430555.1"")"
