Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
d5.2 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,214,501,11%,4e-58,51.28,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45611.1?report=genbank&log$=prottop&blast_rank=13&RID=3270ZWC6013"",""BAF45611.1"")"
f3.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,210,511,11%,7e-57,49.50,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF73402.1?report=genbank&log$=prottop&blast_rank=14&RID=3270ZWC6013"",""BAF73402.1"")"
repeat element protein-b15.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,209,494,11%,6e-56,49.29,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031263.1?report=genbank&log$=prottop&blast_rank=15&RID=3270ZWC6013"",""YP_001031263.1"")"
d5.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,208,513,12%,6e-56,49.30,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45610.1?report=genbank&log$=prottop&blast_rank=16&RID=3270ZWC6013"",""BAF45610.1"")"
repeat element 7 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,207,490,11%,1e-55,46.34,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71606.1?report=genbank&log$=prottop&blast_rank=17&RID=3270ZWC6013"",""ULM71606.1"")"
repeat element 11 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,204,478,11%,9e-55,46.08,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21950.1?report=genbank&log$=prottop&blast_rank=18&RID=3270ZWC6013"",""AHY21950.1"")"
repeat element protein-d4.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,203,489,11%,7e-54,44.91,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031315.1?report=genbank&log$=prottop&blast_rank=19&RID=3270ZWC6013"",""YP_001031315.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,199,402,10%,9e-53,50.81,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25721.1?report=genbank&log$=prottop&blast_rank=20&RID=3270ZWC6013"",""AIK25721.1"")"
unnamed protein product [Pieris brassicae],Pieris brassicae,199,461,10%,3e-52,45.05,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH4003618.1?report=genbank&log$=prottop&blast_rank=21&RID=3270ZWC6013"",""CAH4003618.1"")"
Rep5 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,197,437,12%,6e-52,47.83,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25725.1?report=genbank&log$=prottop&blast_rank=22&RID=3270ZWC6013"",""AIK25725.1"")"
repeat element 25 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,194,533,11%,6e-51,49.50,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22014.1?report=genbank&log$=prottop&blast_rank=23&RID=3270ZWC6013"",""AHY22014.1"")"
repeat element 27 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,192,481,11%,2e-50,43.35,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22018.1?report=genbank&log$=prottop&blast_rank=24&RID=3270ZWC6013"",""AHY22018.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,190,474,10%,1e-49,46.46,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25648.1?report=genbank&log$=prottop&blast_rank=25&RID=3270ZWC6013"",""AIK25648.1"")"
repeat element 20 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,189,467,11%,1e-49,43.46,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71662.1?report=genbank&log$=prottop&blast_rank=26&RID=3270ZWC6013"",""ULM71662.1"")"
repeat element 29 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,191,515,12%,1e-49,51.30,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71673.1?report=genbank&log$=prottop&blast_rank=27&RID=3270ZWC6013"",""ULM71673.1"")"
repeat element 17 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,189,473,11%,2e-49,44.39,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21996.1?report=genbank&log$=prottop&blast_rank=28&RID=3270ZWC6013"",""AHY21996.1"")"
repeat element 9 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,189,403,11%,4e-49,53.51,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21947.1?report=genbank&log$=prottop&blast_rank=29&RID=3270ZWC6013"",""AHY21947.1"")"
repeat element 11 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,190,487,11%,5e-49,43.07,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71638.1?report=genbank&log$=prottop&blast_rank=30&RID=3270ZWC6013"",""ULM71638.1"")"
repeat element protein-d10.3 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,189,509,12%,5e-49,50.78,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031337.1?report=genbank&log$=prottop&blast_rank=31&RID=3270ZWC6013"",""YP_001031337.1"")"
c3.2 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,188,489,11%,5e-49,45.59,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45588.1?report=genbank&log$=prottop&blast_rank=32&RID=3270ZWC6013"",""BAF45588.1"")"
repeat element protein-d10.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,188,441,12%,6e-49,44.14,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031335.1?report=genbank&log$=prottop&blast_rank=33&RID=3270ZWC6013"",""YP_001031335.1"")"
repeat element 13 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,187,499,10%,7e-49,49.72,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71642.1?report=genbank&log$=prottop&blast_rank=34&RID=3270ZWC6013"",""ULM71642.1"")"
repeat element protein [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,186,441,11%,2e-48,43.30,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO16959.1?report=genbank&log$=prottop&blast_rank=35&RID=3270ZWC6013"",""AAO16959.1"")"
repeat element 26 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,186,469,11%,2e-48,46.08,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22015.1?report=genbank&log$=prottop&blast_rank=36&RID=3270ZWC6013"",""AHY22015.1"")"
repeat element 28 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,186,442,11%,2e-48,46.94,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71676.1?report=genbank&log$=prottop&blast_rank=37&RID=3270ZWC6013"",""ULM71676.1"")"
repeat element protein-d11.3 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,187,381,9%,3e-48,50.26,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031340.1?report=genbank&log$=prottop&blast_rank=38&RID=3270ZWC6013"",""YP_001031340.1"")"
repeat element 23 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,184,437,12%,1e-47,42.27,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71666.1?report=genbank&log$=prottop&blast_rank=39&RID=3270ZWC6013"",""ULM71666.1"")"
repeat element 23 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,183,451,11%,2e-47,42.58,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22011.1?report=genbank&log$=prottop&blast_rank=40&RID=3270ZWC6013"",""AHY22011.1"")"
repeat element 7 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,186,409,12%,2e-47,48.68,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21945.1?report=genbank&log$=prottop&blast_rank=41&RID=3270ZWC6013"",""AHY21945.1"")"
repeat element 24 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,186,501,12%,2e-47,48.04,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71667.1?report=genbank&log$=prottop&blast_rank=42&RID=3270ZWC6013"",""ULM71667.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,182,466,11%,5e-47,41.46,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25673.1?report=genbank&log$=prottop&blast_rank=43&RID=3270ZWC6013"",""AIK25673.1"")"
c289.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,181,444,9%,8e-47,49.43,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45769.1?report=genbank&log$=prottop&blast_rank=44&RID=3270ZWC6013"",""BAF45769.1"")"
repeat element protein [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,181,462,11%,2e-46,40.98,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO16961.1?report=genbank&log$=prottop&blast_rank=45&RID=3270ZWC6013"",""AAO16961.1"")"
repeat element protein-d11.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,181,405,12%,2e-46,50.83,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031339.1?report=genbank&log$=prottop&blast_rank=46&RID=3270ZWC6013"",""YP_001031339.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,180,462,11%,2e-46,40.67,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25678.1?report=genbank&log$=prottop&blast_rank=47&RID=3270ZWC6013"",""AIK25678.1"")"
repeat element protein-d6.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,180,460,11%,3e-46,39.73,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031319.1?report=genbank&log$=prottop&blast_rank=48&RID=3270ZWC6013"",""YP_001031319.1"")"
repeat element protein [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,180,461,11%,3e-46,40.58,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO16958.1?report=genbank&log$=prottop&blast_rank=49&RID=3270ZWC6013"",""AAO16958.1"")"
repeat element 27 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,181,397,12%,3e-46,52.69,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71703.1?report=genbank&log$=prottop&blast_rank=50&RID=3270ZWC6013"",""ULM71703.1"")"
unnamed protein product [Euphydryas editha],Euphydryas editha,180,448,10%,3e-46,43.43,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2098819.1?report=genbank&log$=prottop&blast_rank=51&RID=3270ZWC6013"",""CAH2098819.1"")"
repeat element protein-d4.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,180,453,11%,5e-46,44.44,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031316.1?report=genbank&log$=prottop&blast_rank=52&RID=3270ZWC6013"",""YP_001031316.1"")"
repeat element 37 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,180,377,11%,5e-46,46.74,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71704.1?report=genbank&log$=prottop&blast_rank=53&RID=3270ZWC6013"",""ULM71704.1"")"
repeat element protein-d6.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,180,513,11%,5e-46,42.65,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031320.1?report=genbank&log$=prottop&blast_rank=54&RID=3270ZWC6013"",""YP_001031320.1"")"
repeat element 3 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,179,461,11%,9e-46,42.33,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71594.1?report=genbank&log$=prottop&blast_rank=55&RID=3270ZWC6013"",""ULM71594.1"")"
repeat element 3 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,178,462,11%,1e-45,42.33,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71588.1?report=genbank&log$=prottop&blast_rank=56&RID=3270ZWC6013"",""ULM71588.1"")"
repeat element 27 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,179,393,12%,1e-45,52.15,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71672.1?report=genbank&log$=prottop&blast_rank=57&RID=3270ZWC6013"",""ULM71672.1"")"
repeat element 12 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,178,444,11%,2e-45,42.86,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71641.1?report=genbank&log$=prottop&blast_rank=58&RID=3270ZWC6013"",""ULM71641.1"")"
repeat element 1 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,176,417,11%,6e-45,43.54,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21934.1?report=genbank&log$=prottop&blast_rank=59&RID=3270ZWC6013"",""AHY21934.1"")"
repeat element protein-d6.3 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,177,454,11%,6e-45,45.23,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031322.1?report=genbank&log$=prottop&blast_rank=60&RID=3270ZWC6013"",""YP_001031322.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,176,454,11%,8e-45,42.51,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25623.1?report=genbank&log$=prottop&blast_rank=61&RID=3270ZWC6013"",""AIK25623.1"")"
repeat element protein-c7.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,178,457,11%,1e-44,39.42,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031283.1?report=genbank&log$=prottop&blast_rank=62&RID=3270ZWC6013"",""YP_001031283.1"")"
repeat element 35 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,177,462,11%,1e-44,47.45,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71691.1?report=genbank&log$=prottop&blast_rank=63&RID=3270ZWC6013"",""ULM71691.1"")"
repeat element protein-b12.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,175,458,11%,2e-44,43.75,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031258.1?report=genbank&log$=prottop&blast_rank=64&RID=3270ZWC6013"",""YP_001031258.1"")"
repeat element 4 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,174,431,11%,5e-44,44.33,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71596.1?report=genbank&log$=prottop&blast_rank=65&RID=3270ZWC6013"",""ULM71596.1"")"
repeat element protein-d3.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,173,416,9%,8e-44,50.00,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031311.1?report=genbank&log$=prottop&blast_rank=66&RID=3270ZWC6013"",""YP_001031311.1"")"
repeat element protein-c18.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,173,466,12%,1e-43,41.70,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031294.1?report=genbank&log$=prottop&blast_rank=67&RID=3270ZWC6013"",""YP_001031294.1"")"
c4.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,174,440,10%,2e-43,44.88,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45589.1?report=genbank&log$=prottop&blast_rank=68&RID=3270ZWC6013"",""BAF45589.1"")"
repeat element 2 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,173,377,11%,2e-43,50.84,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71587.1?report=genbank&log$=prottop&blast_rank=69&RID=3270ZWC6013"",""ULM71587.1"")"
repeat element 36 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,170,422,11%,1e-42,42.86,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71692.1?report=genbank&log$=prottop&blast_rank=70&RID=3270ZWC6013"",""ULM71692.1"")"
repeat element protein-d10.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,170,414,9%,1e-42,48.86,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031336.1?report=genbank&log$=prottop&blast_rank=71&RID=3270ZWC6013"",""YP_001031336.1"")"
repeat element 26 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,169,373,11%,4e-42,49.72,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71671.1?report=genbank&log$=prottop&blast_rank=72&RID=3270ZWC6013"",""ULM71671.1"")"
repeat element 6 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,168,395,10%,9e-42,42.53,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21943.1?report=genbank&log$=prottop&blast_rank=73&RID=3270ZWC6013"",""AHY21943.1"")"
repeat element 10 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,166,420,9%,1e-41,44.07,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21949.1?report=genbank&log$=prottop&blast_rank=74&RID=3270ZWC6013"",""AHY21949.1"")"
repeat element 34 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,167,424,10%,1e-41,40.78,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71690.1?report=genbank&log$=prottop&blast_rank=75&RID=3270ZWC6013"",""ULM71690.1"")"
repeat element 3 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,167,427,11%,1e-41,41.87,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21937.1?report=genbank&log$=prottop&blast_rank=76&RID=3270ZWC6013"",""AHY21937.1"")"
repeat element protein-b18.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,165,378,10%,3e-41,43.72,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031269.1?report=genbank&log$=prottop&blast_rank=77&RID=3270ZWC6013"",""YP_001031269.1"")"
repeat element 28 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,165,403,12%,6e-41,41.10,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22019.1?report=genbank&log$=prottop&blast_rank=78&RID=3270ZWC6013"",""AHY22019.1"")"
b2.2 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,164,420,11%,7e-41,39.13,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45579.1?report=genbank&log$=prottop&blast_rank=79&RID=3270ZWC6013"",""BAF45579.1"")"
repeat element protein [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,165,430,11%,8e-41,44.09,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO16957.1?report=genbank&log$=prottop&blast_rank=80&RID=3270ZWC6013"",""AAO16957.1"")"
repeat element 14 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,171,424,11%,8e-41,47.92,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21967.1?report=genbank&log$=prottop&blast_rank=81&RID=3270ZWC6013"",""AHY21967.1"")"
repeat element 20 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,167,436,11%,2e-40,38.12,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22005.1?report=genbank&log$=prottop&blast_rank=82&RID=3270ZWC6013"",""AHY22005.1"")"
repeat element 18 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,160,406,8%,5e-40,44.51,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71657.1?report=genbank&log$=prottop&blast_rank=83&RID=3270ZWC6013"",""ULM71657.1"")"
repeat element 34 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,159,404,8%,2e-39,44.17,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22034.1?report=genbank&log$=prottop&blast_rank=84&RID=3270ZWC6013"",""AHY22034.1"")"
repeat element protein-c18.3 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,159,401,10%,6e-39,39.78,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031298.1?report=genbank&log$=prottop&blast_rank=85&RID=3270ZWC6013"",""YP_001031298.1"")"
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,157,405,11%,3e-38,40.29,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25632.1?report=genbank&log$=prottop&blast_rank=86&RID=3270ZWC6013"",""AIK25632.1"")"
repeat element protein-d3.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,158,400,11%,3e-38,42.93,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031310.1?report=genbank&log$=prottop&blast_rank=87&RID=3270ZWC6013"",""YP_001031310.1"")"
repeat element 12 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,158,431,11%,4e-38,38.39,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21951.1?report=genbank&log$=prottop&blast_rank=88&RID=3270ZWC6013"",""AHY21951.1"")"
repeat element protein 8 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,155,367,9%,5e-38,42.22,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAR89180.1?report=genbank&log$=prottop&blast_rank=89&RID=3270ZWC6013"",""AAR89180.1"")"
repeat element protein-c3.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,157,413,10%,8e-38,37.56,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031274.1?report=genbank&log$=prottop&blast_rank=90&RID=3270ZWC6013"",""YP_001031274.1"")"
repeat element 19 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,156,406,9%,1e-37,43.27,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71658.1?report=genbank&log$=prottop&blast_rank=91&RID=3270ZWC6013"",""ULM71658.1"")"
repeat element 17 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,157,401,11%,1e-37,39.04,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71656.1?report=genbank&log$=prottop&blast_rank=92&RID=3270ZWC6013"",""ULM71656.1"")"
repeat element 36 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,156,387,11%,1e-37,40.11,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22036.1?report=genbank&log$=prottop&blast_rank=93&RID=3270ZWC6013"",""AHY22036.1"")"
repeat element protein-b14.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,156,390,11%,2e-37,39.90,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031359.1?report=genbank&log$=prottop&blast_rank=94&RID=3270ZWC6013"",""YP_001031359.1"")"
