Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
probable ATP-dependent RNA helicase DDX56 isoform X2 [Colletes gigas],Colletes gigas,374,805,13%,2e-109,74.36,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043247906.1?report=genbank&log$=prottop&blast_rank=11&RID=327840D6013"",""XP_043247906.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Colletes gigas],Colletes gigas,375,801,13%,2e-109,74.36,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043247905.1?report=genbank&log$=prottop&blast_rank=12&RID=327840D6013"",""XP_043247905.1"")"
probable ATP-dependent RNA helicase DDX56 [Harpegnathos saltator],Harpegnathos saltator,355,787,13%,1e-102,69.96,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011146653.1?report=genbank&log$=prottop&blast_rank=13&RID=327840D6013"",""XP_011146653.1"")"
probable ATP-dependent RNA helicase DDX56 [Osmia bicornis bicornis],Osmia bicornis bicornis,358,790,13%,1e-103,70.70,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029034838.2?report=genbank&log$=prottop&blast_rank=14&RID=327840D6013"",""XP_029034838.2"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Dufourea novaeangliae],Dufourea novaeangliae,374,796,13%,4e-109,74.07,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015437944.1?report=genbank&log$=prottop&blast_rank=15&RID=327840D6013"",""XP_015437944.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Camponotus floridanus],Camponotus floridanus,345,776,13%,3e-99,68.25,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011263326.1?report=genbank&log$=prottop&blast_rank=16&RID=327840D6013"",""XP_011263326.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Dinoponera quadriceps],Dinoponera quadriceps,337,768,13%,1e-96,69.60,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014478968.1?report=genbank&log$=prottop&blast_rank=17&RID=327840D6013"",""XP_014478968.1"")"
probable ATP-dependent RNA helicase DDX56 [Ceratina calcarata],Ceratina calcarata,353,782,13%,7e-102,70.33,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026670793.1?report=genbank&log$=prottop&blast_rank=18&RID=327840D6013"",""XP_026670793.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Linepithema humile],Linepithema humile,362,792,13%,3e-105,70.70,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012215889.1?report=genbank&log$=prottop&blast_rank=19&RID=327840D6013"",""XP_012215889.1"")"
probable ATP-dependent RNA helicase DDX56 [Nasonia vitripennis],Nasonia vitripennis,363,793,13%,2e-105,69.96,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001600943.1?report=genbank&log$=prottop&blast_rank=20&RID=327840D6013"",""XP_001600943.1"")"
unnamed protein product [Lasius platythorax],Lasius platythorax,350,779,13%,7e-101,68.98,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL1687134.1?report=genbank&log$=prottop&blast_rank=21&RID=327840D6013"",""CAL1687134.1"")"
probable ATP-dependent RNA helicase DDX56 [Diachasma alloeum],Diachasma alloeum,358,787,13%,9e-104,71.79,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015116539.1?report=genbank&log$=prottop&blast_rank=22&RID=327840D6013"",""XP_015116539.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Eufriesea mexicana],Eufriesea mexicana,367,796,13%,6e-107,72.16,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017752951.1?report=genbank&log$=prottop&blast_rank=23&RID=327840D6013"",""XP_017752951.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Vespula pensylvanica],Vespula pensylvanica,355,784,13%,8e-103,70.33,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043665470.1?report=genbank&log$=prottop&blast_rank=24&RID=327840D6013"",""XP_043665470.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Vespula pensylvanica],Vespula pensylvanica,354,782,13%,1e-102,70.48,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043665471.1?report=genbank&log$=prottop&blast_rank=25&RID=327840D6013"",""XP_043665471.1"")"
putative ATP-dependent RNA helicase DDX56 [Eufriesea mexicana],Eufriesea mexicana,367,795,13%,8e-107,72.16,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OAD59804.1?report=genbank&log$=prottop&blast_rank=26&RID=327840D6013"",""OAD59804.1"")"
probable ATP-dependent RNA helicase DDX56 [Microplitis demolitor],Microplitis demolitor,370,802,13%,6e-108,71.43,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008558990.1?report=genbank&log$=prottop&blast_rank=27&RID=327840D6013"",""XP_008558990.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Vespula vulgaris],Vespula vulgaris,358,786,13%,1e-103,71.06,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050847635.1?report=genbank&log$=prottop&blast_rank=28&RID=327840D6013"",""XP_050847635.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Vespula vulgaris],Vespula vulgaris,356,784,13%,2e-103,71.22,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050847636.1?report=genbank&log$=prottop&blast_rank=29&RID=327840D6013"",""XP_050847636.1"")"
hypothetical protein TSAR_016969 [Trichomalopsis sarcophagae],Trichomalopsis sarcophagae,362,790,13%,9e-105,71.21,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OXU23166.1?report=genbank&log$=prottop&blast_rank=30&RID=327840D6013"",""OXU23166.1"")"
probable ATP-dependent RNA helicase DDX56 [Athalia rosae],Athalia rosae,363,791,13%,2e-105,69.06,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012264269.2?report=genbank&log$=prottop&blast_rank=31&RID=327840D6013"",""XP_012264269.2"")"
hypothetical protein HZH68_004319 [Vespula germanica],Vespula germanica,358,784,13%,1e-103,71.06,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7409938.1?report=genbank&log$=prottop&blast_rank=32&RID=327840D6013"",""KAF7409938.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus impatiens],Bombus impatiens,365,791,13%,5e-106,71.43,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003487352.1?report=genbank&log$=prottop&blast_rank=33&RID=327840D6013"",""XP_003487352.1"")"
probable ATP-dependent RNA helicase DDX56 [Formica exsecta],Formica exsecta,343,769,13%,1e-98,67.52,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029676058.1?report=genbank&log$=prottop&blast_rank=34&RID=327840D6013"",""XP_029676058.1"")"
probable ATP-dependent RNA helicase DDX56 [Nylanderia fulva],Nylanderia fulva,350,776,13%,6e-101,69.34,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029170392.1?report=genbank&log$=prottop&blast_rank=35&RID=327840D6013"",""XP_029170392.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Bombus pyrosoma],Bombus pyrosoma,363,789,13%,2e-105,71.06,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043601283.1?report=genbank&log$=prottop&blast_rank=36&RID=327840D6013"",""XP_043601283.1"")"
hypothetical protein KM043_006720 [Ampulex compressa],Ampulex compressa,364,791,13%,6e-106,72.53,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7190638.1?report=genbank&log$=prottop&blast_rank=37&RID=327840D6013"",""KAG7190638.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Cataglyphis hispanica],Cataglyphis hispanica,347,773,13%,2e-99,68.25,574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050446747.1?report=genbank&log$=prottop&blast_rank=38&RID=327840D6013"",""XP_050446747.1"")"
probable ATP-dependent RNA helicase DDX56 [Microplitis mediator],Microplitis mediator,368,803,13%,3e-107,71.06,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057333018.1?report=genbank&log$=prottop&blast_rank=39&RID=327840D6013"",""XP_057333018.1"")"
probable ATP-dependent RNA helicase DDX56 [Cotesia glomerata],Cotesia glomerata,368,795,13%,5e-107,70.70,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044598462.1?report=genbank&log$=prottop&blast_rank=40&RID=327840D6013"",""XP_044598462.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus bifarius],Bombus bifarius,365,790,13%,5e-106,71.43,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033300427.1?report=genbank&log$=prottop&blast_rank=41&RID=327840D6013"",""XP_033300427.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Bombus huntii],Bombus huntii,326,751,13%,3e-93,70.12,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050483680.1?report=genbank&log$=prottop&blast_rank=42&RID=327840D6013"",""XP_050483680.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,364,789,13%,7e-106,71.06,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033191337.1?report=genbank&log$=prottop&blast_rank=43&RID=327840D6013"",""XP_033191337.1"")"
putative atp-dependent rna helicase ddx56-like protein [Lasius niger],Lasius niger,347,772,13%,5e-94,69.23,1162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ96525.1?report=genbank&log$=prottop&blast_rank=44&RID=327840D6013"",""KMQ96525.1"")"
GSCOCG00000545001-RA-CDS [Cotesia congregata],Cotesia congregata,367,795,13%,8e-107,70.70,562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6215734.1?report=genbank&log$=prottop&blast_rank=45&RID=327840D6013"",""CAD6215734.1"")"
Similar to DDX56: Probable ATP-dependent RNA helicase DDX56 (Homo sapiens) [Cotesia congregata],Cotesia congregata,366,793,13%,9e-107,70.59,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG5087672.1?report=genbank&log$=prottop&blast_rank=46&RID=327840D6013"",""CAG5087672.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus terrestris],Bombus terrestris,367,790,13%,1e-106,71.43,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003401436.1?report=genbank&log$=prottop&blast_rank=47&RID=327840D6013"",""XP_003401436.1"")"
probable ATP-dependent RNA helicase DDX56 [Temnothorax curvispinosus],Temnothorax curvispinosus,333,757,13%,2e-95,68.97,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024869359.1?report=genbank&log$=prottop&blast_rank=48&RID=327840D6013"",""XP_024869359.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus affinis],Bombus affinis,365,789,13%,3e-106,71.43,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050593768.1?report=genbank&log$=prottop&blast_rank=49&RID=327840D6013"",""XP_050593768.1"")"
hypothetical protein QAD02_006204 [Eretmocerus hayati],Eretmocerus hayati,367,781,13%,1e-106,70.96,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8664542.1?report=genbank&log$=prottop&blast_rank=50&RID=327840D6013"",""KAJ8664542.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Cataglyphis hispanica],Cataglyphis hispanica,347,770,13%,8e-100,68.25,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050446748.1?report=genbank&log$=prottop&blast_rank=51&RID=327840D6013"",""XP_050446748.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Bombus pyrosoma],Bombus pyrosoma,362,786,12%,3e-105,71.06,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043601284.1?report=genbank&log$=prottop&blast_rank=52&RID=327840D6013"",""XP_043601284.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Camponotus floridanus],Camponotus floridanus,345,768,13%,2e-99,68.25,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011263327.1?report=genbank&log$=prottop&blast_rank=53&RID=327840D6013"",""XP_011263327.1"")"
probable ATP-dependent RNA helicase DDX56 [Diprion similis],Diprion similis,365,785,13%,3e-106,71.06,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046750017.1?report=genbank&log$=prottop&blast_rank=54&RID=327840D6013"",""XP_046750017.1"")"
hypothetical protein KPH14_003830 [Odynerus spinipes],Odynerus spinipes,365,794,13%,5e-106,72.16,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2587717.1?report=genbank&log$=prottop&blast_rank=55&RID=327840D6013"",""KAK2587717.1"")"
hypothetical protein G9C98_002042 [Cotesia typhae],Cotesia typhae,365,791,13%,5e-106,70.33,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG8041054.1?report=genbank&log$=prottop&blast_rank=56&RID=327840D6013"",""KAG8041054.1"")"
probable ATP-dependent RNA helicase DDX56 [Nomia melanderi],Nomia melanderi,364,785,13%,8e-106,72.16,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031829428.1?report=genbank&log$=prottop&blast_rank=57&RID=327840D6013"",""XP_031829428.1"")"
probable ATP-dependent RNA helicase DDX56 [Odontomachus brunneus],Odontomachus brunneus,342,763,13%,2e-98,67.77,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032687865.1?report=genbank&log$=prottop&blast_rank=58&RID=327840D6013"",""XP_032687865.1"")"
probable ATP-dependent RNA helicase DDX56 [Orussus abietinus],Orussus abietinus,363,783,13%,2e-105,69.60,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012283540.1?report=genbank&log$=prottop&blast_rank=59&RID=327840D6013"",""XP_012283540.1"")"
probable ATP-dependent RNA helicase DDX56 [Bombus pascuorum],Bombus pascuorum,360,779,13%,2e-104,71.48,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_060825613.1?report=genbank&log$=prottop&blast_rank=60&RID=327840D6013"",""XP_060825613.1"")"
hypothetical protein HN011_007402 [Eciton burchellii],Eciton burchellii,358,642,9%,2e-105,70.33,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0952688.1?report=genbank&log$=prottop&blast_rank=61&RID=327840D6013"",""KAH0952688.1"")"
probable ATP-dependent RNA helicase DDX56 [Neodiprion lecontei],Neodiprion lecontei,363,781,13%,2e-105,71.06,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015523146.1?report=genbank&log$=prottop&blast_rank=62&RID=327840D6013"",""XP_015523146.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Neodiprion virginianus],Neodiprion virginianus,362,780,13%,1e-104,71.43,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046625053.1?report=genbank&log$=prottop&blast_rank=63&RID=327840D6013"",""XP_046625053.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Neodiprion fabricii],Neodiprion fabricii,360,778,13%,7e-104,71.06,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046431785.1?report=genbank&log$=prottop&blast_rank=64&RID=327840D6013"",""XP_046431785.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Neodiprion virginianus],Neodiprion virginianus,362,779,13%,4e-105,71.43,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046625054.1?report=genbank&log$=prottop&blast_rank=65&RID=327840D6013"",""XP_046625054.1"")"
LOW QUALITY PROTEIN: hypothetical protein E2986_05759 [Frieseomelitta varia],Frieseomelitta varia,353,771,13%,1e-101,68.86,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3423159.1?report=genbank&log$=prottop&blast_rank=66&RID=327840D6013"",""KAF3423159.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Habropoda laboriosa],Habropoda laboriosa,358,776,13%,5e-104,71.06,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017796283.1?report=genbank&log$=prottop&blast_rank=67&RID=327840D6013"",""XP_017796283.1"")"
putative ATP-dependent RNA helicase DDX56 [Habropoda laboriosa],Habropoda laboriosa,358,777,13%,4e-104,71.06,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOC59472.1?report=genbank&log$=prottop&blast_rank=68&RID=327840D6013"",""KOC59472.1"")"
probable ATP-dependent RNA helicase DDX56 [Vespa mandarinia],Vespa mandarinia,359,776,13%,4e-104,70.70,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035733684.1?report=genbank&log$=prottop&blast_rank=69&RID=327840D6013"",""XP_035733684.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Neodiprion fabricii],Neodiprion fabricii,360,777,13%,1e-104,71.06,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046431787.1?report=genbank&log$=prottop&blast_rank=70&RID=327840D6013"",""XP_046431787.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Monomorium pharaonis],Monomorium pharaonis,337,753,13%,1e-95,66.42,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036144786.1?report=genbank&log$=prottop&blast_rank=71&RID=327840D6013"",""XP_036144786.1"")"
probable ATP-dependent RNA helicase DDX56 [Vespa crabro],Vespa crabro,359,776,13%,6e-104,70.70,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046816543.1?report=genbank&log$=prottop&blast_rank=72&RID=327840D6013"",""XP_046816543.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Monomorium pharaonis],Monomorium pharaonis,337,753,13%,1e-95,66.42,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036144785.1?report=genbank&log$=prottop&blast_rank=73&RID=327840D6013"",""XP_036144785.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X4 [Monomorium pharaonis],Monomorium pharaonis,335,752,13%,6e-96,66.67,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036144789.1?report=genbank&log$=prottop&blast_rank=74&RID=327840D6013"",""XP_036144789.1"")"
probable ATP-dependent RNA helicase DDX56 [Pogonomyrmex barbatus],Pogonomyrmex barbatus,330,746,13%,2e-94,68.58,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011641120.1?report=genbank&log$=prottop&blast_rank=75&RID=327840D6013"",""XP_011641120.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X5 [Monomorium pharaonis],Monomorium pharaonis,318,734,13%,1e-90,66.28,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036144790.1?report=genbank&log$=prottop&blast_rank=76&RID=327840D6013"",""XP_036144790.1"")"
LOW QUALITY PROTEIN: probable ATP-dependent RNA helicase DDX56 [Apis florea],Apis florea,344,760,13%,6e-99,67.39,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003695902.1?report=genbank&log$=prottop&blast_rank=77&RID=327840D6013"",""XP_003695902.1"")"
probable ATP-dependent RNA helicase DDX56 [Vespa velutina],Vespa velutina,358,774,13%,9e-104,70.33,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047346688.1?report=genbank&log$=prottop&blast_rank=78&RID=327840D6013"",""XP_047346688.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X3 [Monomorium pharaonis],Monomorium pharaonis,336,752,13%,7e-96,66.42,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036144787.1?report=genbank&log$=prottop&blast_rank=79&RID=327840D6013"",""XP_036144787.1"")"
probable ATP-dependent RNA helicase DDX56 [Apis mellifera],Apis mellifera,342,757,13%,3e-98,68.86,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_391920.3?report=genbank&log$=prottop&blast_rank=80&RID=327840D6013"",""XP_391920.3"")"
hypothetical protein K0M31_001437 [Melipona bicolor],Melipona bicolor,352,766,13%,2e-101,69.60,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1136906.1?report=genbank&log$=prottop&blast_rank=81&RID=327840D6013"",""KAK1136906.1"")"
ATP-dependent RNA helicase [Apis cerana cerana],Apis cerana cerana,342,757,13%,3e-98,68.13,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBC27116.1?report=genbank&log$=prottop&blast_rank=82&RID=327840D6013"",""PBC27116.1"")"
probable ATP-dependent RNA helicase DDX56 [Apis laboriosa],Apis laboriosa,343,758,13%,1e-98,68.13,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043793830.1?report=genbank&log$=prottop&blast_rank=83&RID=327840D6013"",""XP_043793830.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Copidosoma floridanum],Copidosoma floridanum,358,768,13%,8e-104,69.23,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014207404.1?report=genbank&log$=prottop&blast_rank=84&RID=327840D6013"",""XP_014207404.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X2 [Copidosoma floridanum],Copidosoma floridanum,358,770,13%,9e-104,69.23,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023245882.1?report=genbank&log$=prottop&blast_rank=85&RID=327840D6013"",""XP_023245882.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 isoform X2 [Vollenhovia emeryi],Vollenhovia emeryi,342,756,13%,3e-98,67.16,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011865411.1?report=genbank&log$=prottop&blast_rank=86&RID=327840D6013"",""XP_011865411.1"")"
probable ATP-dependent RNA helicase DDX56 [Frieseomelitta varia],Frieseomelitta varia,353,766,13%,7e-102,68.86,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043520764.1?report=genbank&log$=prottop&blast_rank=87&RID=327840D6013"",""XP_043520764.1"")"
probable ATP-dependent RNA helicase DDX56 [Megalopta genalis],Megalopta genalis,357,769,13%,2e-103,70.33,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033324939.1?report=genbank&log$=prottop&blast_rank=88&RID=327840D6013"",""XP_033324939.1"")"
putative ATP-dependent RNA helicase DDX56 [Trachymyrmex zeteki],Trachymyrmex zeteki,326,738,13%,4e-93,65.30,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYQ47479.1?report=genbank&log$=prottop&blast_rank=89&RID=327840D6013"",""KYQ47479.1"")"
probable ATP-dependent RNA helicase DDX56 [Apis cerana],Apis cerana,342,754,13%,3e-98,68.13,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016919994.2?report=genbank&log$=prottop&blast_rank=90&RID=327840D6013"",""XP_016919994.2"")"
probable ATP-dependent RNA helicase DDX56 [Neodiprion pinetum],Neodiprion pinetum,357,773,13%,4e-103,70.70,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046487885.1?report=genbank&log$=prottop&blast_rank=91&RID=327840D6013"",""XP_046487885.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Ceratosolen solmsi marchali],Ceratosolen solmsi marchali,346,758,13%,2e-99,67.77,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011496167.1?report=genbank&log$=prottop&blast_rank=92&RID=327840D6013"",""XP_011496167.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 isoform X1 [Vollenhovia emeryi],Vollenhovia emeryi,339,751,13%,4e-97,67.29,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011865410.1?report=genbank&log$=prottop&blast_rank=93&RID=327840D6013"",""XP_011865410.1"")"
probable ATP-dependent RNA helicase DDX56 isoform X1 [Solenopsis invicta],Solenopsis invicta,347,758,12%,7e-100,68.52,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039306154.1?report=genbank&log$=prottop&blast_rank=94&RID=327840D6013"",""XP_039306154.1"")"
